Team,Ap,Location,Arena,Turf,Capacity
Aalesund,12,Ålesund,Color Line Stadion,Artificial,"10,778"
Brann,57,Bergen,Brann Stadion,Natural,"17,824"
Haugesund,7,Haugesund,Haugesund Stadion,Natural,"8,800"
Hønefoss,3,Hønefoss,Aka Arena,Artificial,"4,256"
Lillestrøm,50,Lillestrøm,Åråsen Stadion,Natural,"12,250"
Molde,37,Molde,Aker Stadion,Natural,"11,800"
Odd,32,Skien,Skagerak Arena,Artificial,"13,500"
Rosenborg,50,Trondheim,Lerkendal stadion,Natural,"21,166"
Sandnes Ulf,4,Sandnes,Sandnes Idrettspark,Natural,"4,969"
Sarpsborg 08,2,Sarpsborg,Sarpsborg Stadion,Artificial,"4,700"
Sogndal,15,Sogndal,Fosshaugane Campus,Artificial,"5,523"
Start,37,Kristiansand,Sør Arena,Artificial,"14,563"
Strømsgodset,26,Drammen,Marienlyst Stadion,Artificial,"7,500"
Tromsø,27,Tromsø,Alfheim Stadion,Artificial,"6,859"
Vålerenga,53,Oslo,Ullevaal Stadion,Natural,"25,572"
Viking,64,Stavanger,Viking Stadion,Natural,"16,300"
