Country,Name,Government
Australia,"Federation for a Democratic China , Australia",Extraparliamentary Opposition
Azerbaijan,Azerbaijan Greens,Extraparliamentary Opposition
Belarus,Belarusian Party The Greens,Extraparliamentary Opposition
Bulgaria,Zelenite/The Greens,Extraparliamentary Opposition
Costa Rica,Cartago Green Party,Extraparliamentary Opposition
Denmark,Socialistisk Folkeparti,in opposition
Dominican Republic,Partido Verde Dominicano,Extraparliamentary Opposition
French Guiana,Les Verts de Guyane,Extraparliamentary Opposition
Guatemala,Partido Los Verdes de Guatemala,unknown
Nepal,Hariyali Nepal Party,Extraparliamentary Opposition
Nicaragua,Verdes en Alianza,unknown
Philippines,Philippines Greens,unknown
Russia,Green Russia,Extraparliamentary Opposition
Serbia,Zeleni Srbije/Greens of Serbia,Junior party in coalition cabinet
Sri Lanka,Sri Lanka Green Alliance,Extraparliamentary Opposition
