Week,Eastern Conference,Western Conference
May 24 - Jun . 2,Angel McCoughtry ( Atlanta Dream ) ( 1/3 ),Candace Parker ( Los Angeles Sparks ) ( 1/3 )
Jun . 3 - Jun . 9,Ivory Latta ( Washington Mystics ) ( 1/2 ),Rebekkah Brunson ( Minnesota Lynx ) ( 1/1 )
Jun . 10 - Jun . 16,Angel McCoughtry ( Atlanta Dream ) ( 2/3 ),Diana Taurasi ( Phoenix Mercury ) ( 1/2 )
Jun . 17 - Jun . 23,Angel McCoughtry ( Atlanta Dream ) ( 3/3 ),Glory Johnson ( Tulsa Shock ) ( 1/1 )
Jun . 24 - Jun . 30,Elena Delle Donne ( Chicago Sky ) ( 1/4 ),Diana Taurasi ( Phoenix Mercury ) ( 2/2 )
Jul . 1 - Jul . 7,Elena Delle Donne ( Chicago Sky ) ( 2/4 ),Candace Parker ( Los Angeles Sparks ) ( 2/3 )
Jul . 8 - Jul . 14,Sylvia Fowles ( Chicago Sky ) ( 1/2 ),Candace Parker ( Los Angeles Sparks ) ( 3/3 )
Jul . 15 - Jul . 21,Tamika Catchings ( Indiana Fever ) ( 1/1 ),Liz Cambage ( Tulsa Shock ) ( 1/2 )
Jul . 22 - Jul . 28,Ivory Latta ( Washington Mystics ) ( 2/2 ),Tina Thompson ( Seattle Storm ) ( 1/1 )
Jul . 29 - Aug. 4,Tina Charles ( Connecticut Sun ) ( 1/1 ),Liz Cambage ( Tulsa Shock ) ( 2/2 )
Aug. 5 - Aug. 11,Elena Delle Donne ( Chicago Sky ) ( 3/4 ),Maya Moore ( Minnesota Lynx ) ( 1/2 )
Aug. 12 - Aug. 18,Sylvia Fowles ( Chicago Sky ) ( 2/2 ),Kristi Toliver ( Los Angeles Sparks ) ( 1/1 )
Aug. 19 - Aug. 25,Elena Delle Donne ( Chicago Sky ) ( 4/4 ),Maya Moore ( Minnesota Lynx ) ( 2/2 )
