Pos,No,Driver,Constructor,Time,Gap
1,5,Damon Hill,Williams - Renault,1:18.111,
2,11,Rubens Barrichello,Jordan - Peugeot,1:19.092,+0.981
3,6,Jacques Villeneuve,Williams - Renault,1:19.254,+1.143
4,1,Michael Schumacher,Ferrari,1:19.474,+1.363
5,3,Jean Alesi,Benetton - Renault,1:19.484,+1.373
6,12,Martin Brundle,Jordan - Peugeot,1:19.519,+1.408
7,7,Mika Häkkinen,McLaren - Mercedes,1:19.607,+1.496
8,4,Gerhard Berger,Benetton - Renault,1:19.762,+1.651
9,15,Heinz-Harald Frentzen,Sauber - Ford,1:19.799,+1.688
10,2,Eddie Irvine,Ferrari,1:19.951,+1.840
11,19,Mika Salo,Tyrrell - Yamaha,1:20.000,+1.889
12,14,Johnny Herbert,Sauber - Ford,1:20.144,+2.033
13,17,Jos Verstappen,Footwork - Hart,1:20.157,+2.046
14,8,David Coulthard,McLaren - Mercedes,1:20.167,+2.056
15,9,Olivier Panis,Ligier - Mugen-Honda,1:20.426,+2.315
16,18,Ukyo Katayama,Tyrrell - Yamaha,1:20.427,+2.316
17,16,Ricardo Rosset,Footwork - Hart,1:20.440,+2.329
18,20,Pedro Lamy,Minardi - Ford,1:21.491,+3.380
19,22,Luca Badoer,Forti - Ford,1:23.174,+5.063
20,23,Andrea Montermini,Forti - Ford,1:23.454,+5.343
