Pick,Player,Team,Position,School
1,Alex Rodriguez,Seattle Mariners,Shortstop,Westminster Christian School
2,Darren Dreifort,Los Angeles Dodgers,Pitcher,Wichita State University
3,Brian Anderson,California Angels,Pitcher,Wright State University
4,Wayne Gomes,Philadelphia Phillies,Pitcher,Old Dominion University
5,Jeff Granger,Kansas City Royals,Pitcher,Texas A & M University
6,Steve Soderstrom,San Francisco Giants,Pitcher,Fresno State University
7,Trot Nixon,Boston Red Sox,Outfield,New Hanover High School
8,Kirk Presley,New York Mets,Pitcher,Tupelo High School
9,Matt Brunson,Detroit Tigers,Shortstop,Cherry Creek High School
10,Brooks Kieschnick,Chicago Cubs,Outfield,University of Texas
11,Daron Kirkreit,Cleveland Indians,Pitcher,"University of California , Riverside"
12,Billy Wagner,Houston Astros,Pitcher,Ferrum College
13,Matt Drews,New York Yankees,Pitcher,Sarasota High School
14,Derrek Lee,San Diego Padres,First Base,El Camino High School
15,Chris Carpenter,Toronto Blue Jays,Pitcher,Trinity High School
16,Alan Benes,St. Louis Cardinals,Pitcher,Creighton University
17,Scott Christman,Chicago White Sox,Pitcher,Oregon State University
18,Chris Schwab,Montreal Expos,Outfield,Cretin High School
19,Jay Powell,Baltimore Orioles,Pitcher,Mississippi State University
20,Torii Hunter,Minnesota Twins,Outfield,Pine Bluff High School
