Season,Player ( s ),Team ( s ),Time
2002-03,Jason Kidd,New Jersey Nets,35.1 seconds
2003-04,Baron Davis,New Orleans Hornets,31.6 seconds
2004-05,Steve Nash,Phoenix Suns,25.8 seconds
2005-06,Dwyane Wade,Miami Heat,26.1 seconds
2006-07,Dwyane Wade ( 2 ),Miami Heat ( 2 ),26.4 seconds
2007-08,Deron Williams,Utah Jazz,25.5 seconds
2008-09,Derrick Rose,Chicago Bulls,35.3 seconds
2009-10,Steve Nash ( 2 ),Phoenix Suns ( 2 ),29.9 seconds
2010-11,Stephen Curry,Golden State Warriors,28.2 seconds
2011-12,Tony Parker,San Antonio Spurs,32.8 seconds
2012-13,Damian Lillard,Portland Trail Blazers,29.8 seconds
2013-14,Damian Lillard ( 2 ) Trey Burke,Portland Trail Blazers ( 2 ) Utah Jazz ( 2 ),45.2 seconds
2014-15,Patrick Beverley,Houston Rockets,-
2015-16,Karl-Anthony Towns,Minnesota Timberwolves,-
2016-17,Kristaps Porziņģis,New York Knicks,-
2017-18,Spencer Dinwiddie,Brooklyn Nets ( 2 ),-
2018-19,Jayson Tatum,Boston Celtics,-
