#,Title,Characters,Year,Director
1,Hare Tonic,"Bugs , Elmer",1945,Chuck Jones
2,Baseball Bugs,Bugs,1946,Friz Freleng
3,Buccaneer Bunny,"Bugs , Sam",1948,Friz Freleng
4,The Old Grey Hare,"Bugs , Elmer",1944,Bob Clampett
5,Rabbit Hood,Bugs,1949,Chuck Jones
6,8 Ball Bunny,"Bugs , Playboy Penguin",1950,Chuck Jones
7,Rabbit of Seville,"Bugs , Elmer",1950,Chuck Jones
8,"What 's Opera , Doc ?","Bugs , Elmer",1957,Chuck Jones
9,The Great Piggy Bank Robbery,"Daffy , Porky ( cameo )",1946,Bob Clampett
10,A Pest in the House,"Daffy , Elmer",1947,Chuck Jones
11,The Scarlet Pumpernickel,"Daffy , Sylvester , Porky , Elmer , Henery , Melissa , Mama Bear",1950,Chuck Jones
12,Duck Amuck,"Daffy , Bugs ( cameo )",1953,Chuck Jones
13,Robin Hood Daffy,"Daffy , Porky",1958,Chuck Jones
14,Baby Bottleneck,"Daffy , Porky , Drunken Stork",1946,Bob Clampett
15,Kitty Kornered,"Porky , Sylvester",1946,Bob Clampett
16,Scaredy Cat,"Porky , Sylvester",1948,Chuck Jones
17,Porky Chops,Porky,1949,Arthur Davis
18,Old Glory,Porky,1939,Chuck Jones
19,A Tale of Two Kitties,"Tweety , Babbit and Catstello",1942,Bob Clampett
20,Tweetie Pie,"Sylvester , Tweety",1947,Friz Freleng
