Venue,Sports,Capacity
Bagatelle,Polo,598
Bassin d'Argenteuil,Rowing,"2,216"
Camp de Châlons,Shooting ( 600 m free rifle individual and team ),395
Fontainebleau,Modern pentathlon ( riding ),Not listed
Hippodrome d'Auteuil,Equestrian,"8,922"
Issy-les-Moulineaux,"Shooting ( trap shooting , including team event )",41
Le Havre,Sailing,541
Le Stade Olympique de Reims,"Shooting ( trap shooting , running target )",420
Le Stand de Tir de Versailles,"Modern pentathlon ( shooting ) , Shooting ( 25 m rapid fire pistol , running deer )",82
Meulan-en-Yvelines,Sailing,389
Piscine des Tourelles,"Diving , Modern pentathlon ( swimming ) , Swimming , Water polo","8,023"
Saint-Cloud,Polo,"7,836"
Stade Bergeyre,Football,"10,455"
Stade de Colombes,"Athletics , Cycling ( road ) , Equestrian , Fencing , Football ( final ) , Gymnastics , Modern pentathlon ( fencing , running ) , Rugby union , Tennis","60,000"
Stade de Paris,Football,"5,145"
Stade Pershing,Football,"8,110"
Vélodrome d'hiver,"Boxing , Fencing , Weightlifting , Wrestling","10,884"
Vélodrome de Vincennes,Cycling ( track ),"12,750"
