Team,Town,Home Arena,Founded
Anglet Hormadi,Anglet,Patinoire de la Barre,1969
Drakkars de Caen,Caen,Patinoire de Caen la mer,1968
Dogs de Cholet,Cholet,Pôle Sportif Glisséo,1977
Coqs de Courbevoie,Courbevoie,Patinoire municipale de Courbevoie,1972
Corsaires de Dunkerque,Dunkirk,Patinoire Michel Raffoux,1970
Aigles de La Roche sur Yon,La Roche-sur-Yon,Patinoire Arago,
Yétis du Mont-Blanc,Saint-Gervais Megève,Patinoire de Saint-Gervais Patinoire de Megève,1986
Scorpions de Mulhouse,Mulhouse,Patinoire de l'Illberg,2007
Corsaires de Nantes,Nantes,Patinoire du Petit-Port,1984
Bisons de Neuilly-sur-Marne,Neuilly-sur-Marne,Patinoire municipale de Neuilly-sur-Marne,1974
Aigles de Nice,Nice,Palais des sports Jean-Bouin,1969
Bélougas de Toulouse,Toulouse,Patinoire Jacques Raynaud,1989
Remparts de Tours,Tours,Patinoire de Tours,2010
Bouquetins de Val Vanoise,Méribel,Méribel Ice Palace,1990
