Year recorded,Leader,Title,Label
1958,Pepper Adams,10 to 4 at the 5 Spot,Riverside
1959,Cannonball Adderley,The Cannonball Adderley Quintet in San Francisco,Riverside
1960,Cannonball Adderley,Them Dirty Blues,Riverside
1960,Nat Adderley,Work Song,Riverside
1960,Joe Alexander,Blue Jubilee,Jazzland
1956,Chet Baker,Chet Baker Quintette,Crown
1956,Chet Baker,Chet Baker & Crew,Pacific
1956,Chet Baker,Chet Baker Big Band,Pacific
1958,Art Blakey,Moanin ',Blue Note
1958,Art Blakey,Drums Around the Corner,Blue Note
1958,Art Blakey,1958 - Paris Olympia,Fontana
1958,Art Blakey,Des femmes disparaissent ( Soundtrack ),Fontana
1958,Art Blakey,"Au Club St. Germain , Vol . 1",RCA
1958,Art Blakey,"Au Club St. Germain , Vol . 2",RCA
1958,Art Blakey,"Au Club St. Germain , Vol . 3",RCA
1959,Art Blakey,"At the Jazz Corner of the World , Vol . 1",Blue Note
1959,Art Blakey,"At the Jazz Corner of the World , Vol . 2",Blue Note
1959,Art Blakey,Les liaisons dangereuses 1960 ( Soundtrack ),Fontana
1960,Art Blakey,The Big Beat,Blue Note
1960,Art Blakey,Like Someone in Love,Blue Note
