Year,Round,Pick,Name,Nationality,From
2018,1,3,Luka Dončić,Slovenia,Real Madrid ( Spain )
2018,1,19,Kevin Huerter,United States,University of Maryland
2018,1,30,Omari Spellman,United States,Villanova University
2018,2,34,Devonte ' Graham,United States,University of Kansas
2017,1,19,John Collins,United States,Wake Forest University
2017,2,41,Tyler Dorsey,United States / Greece,University of Oregon
2017,2,60,Alpha Kaba,France,KK Mega Basket ( Serbia )
2016,1,21,DeAndre ' Bembry,United States,Saint Joseph 's University
2016,2,44,Isaia Cordinier,France,Denain Voltaire Basket ( France )
2016,2,54,Kay Felder,United States,Oakland University
2015,1,15,Kelly Oubre Jr,United States,University of Kansas
2015,2,50,Marcus Eriksson,Sweden,FC Barcelona ( Spain )
2015,2,59,Dimitrios Agravanis,Greece,Olympiacos Piraeus ( Greece )
2014,1,15,Adreian Payne,United States,Michigan State University
2014,2,43,Edy Tavares,Cape Verde,Gran Canaria ( Spain )
2013,1,17,Dennis Schröder,Germany,Basketball Löwen Braunschweig ( Germany )
2013,1,18,Shane Larkin,United States,University of Miami
2013,2,47,Raulzinho Neto,Brazil,Gipuzkoa Basket ( Spain )
2013,2,50,James Ennis,United States,Cal State Long Beach
2012,1,23,John Jenkins,United States,Vanderbilt University
