Name,Area,Population,Density,muhfaza or district capital
Jenin,583,"311,231",533.84,Jenin
Tubas,402,"64,719",160.99,Tubas
Tulkarm,246,"182,053",740.05,Tulkarm
Nablus,605,"380,961",629.68,Nablus
Qalqiliya,166,"110,800",667.46,Qalqilya
Salfit,204,"70,727",346.7,Salfit
Ramallah & Al-Bireh,855,"348,110",407.14,Ramallah
Jericho & Al Aghwar,593,"52,154",87.94,Jericho
Jerusalem,345,"419,108",1214.8,Jerusalem ( De Jure and disputed )
Bethlehem,659,"216,114",927.94,Bethlehem
Hebron,997,"706,508",708.63,Hebron
North Gaza,61,"362,772",5947.08,Jabalya
Gaza,74,"625,824",8457.08,Gaza City
Deir Al-Balah,58,"264,455",4559.56,Deir al-Balah
Khan Yunis,108,"341,393",3161.04,Khan Yunis
Rafah,64,"225,538",3524.03,Rafah
