Medal,Name,Games,Sport,Event
Bronze,Soso Liparteliani,1996 Atlanta,Judo,Men 's 78 kg
Bronze,Eldar Kurtanidze,1996 Atlanta,Wrestling,Men 's freestyle 90 kg
Bronze,Vladimer Chanturia,2000 Sydney,Boxing,Heavyweight
Bronze,Giorgi Vazagashvili,2000 Sydney,Judo,Men 's 66 kg
Bronze,Giorgi Asanidze,2000 Sydney,Weightlifting,Men 's 85 kg
Bronze,Eldar Kurtanidze,2000 Sydney,Wrestling,Men 's freestyle 97 kg
Bronze,Akaki Chachua,2000 Sydney,Wrestling,Men 's Greco-Roman 63 kg
Bronze,Mukhran Vakhtangadze,2000 Sydney,Wrestling,Men 's Greco-Roman 85 kg
Gold,Zurab Zviadauri,2004 Athens,Judo,Men 's 90 kg
Gold,Giorgi Asanidze,2004 Athens,Weightlifting,Men 's 85 kg
Silver,Nestor Khergiani,2004 Athens,Judo,Men 's 60 kg
Silver,Ramaz Nozadze,2004 Athens,Wrestling,Men 's Greco-Roman 96 kg
Gold,Irakli Tsirekidze,2008 Beijing,Judo,Men 's 90 kg
Gold,Manuchar Kvirkvelia,2008 Beijing,Wrestling,Men 's Greco-Roman 74 kg
Gold,Revaz Mindorashvili,2008 Beijing,Wrestling,Men 's freestyle 84 kg
Silver,Giorgi Gogshelidze,2008 Beijing,Wrestling,Men 's freestyle 96 kg
Silver,Arsen Kasabiev,2008 Beijing,Weightlifting,Men 's 94 kg
Bronze,Nino Salukvadze,2008 Beijing,Shooting,Women 's 10 metre air pistol
Bronze,Otar Tushishvili,2008 Beijing,Wrestling,Men 's freestyle 66 kg
Gold,Lasha Shavdatuashvili,2012 London,Judo,Men 's 66 kg
