Name,Description,License
ccMixter,Community music website,mostly CC BY-NC
Free Music Archive,,Various
The Freesound Project,,"CC0 , CC BY , CC BY-NC and Sampling Plus"
Ghosts I-IV,By Nine Inch Nails,BY-NC-SA
# hot111 Charts,By starfrosch,CC-BY CC-BY-SA
Jamendo,,Various
NINJAM,Music files/archive,CC BY-SA
Open Game Art,Media repository for software / game projects,"CC BY , CC-BY-SA , CC0 , others"
Pulse of the Earth,By Hungry Lucy,CC BY-SA
The Slip,By Nine Inch Nails,BY-NC-SA
Shaking the Habitual,By The Knife,BY-NC-SA
Jonathan Coulton,Jonathon Coulton 's Works,CC By-NC 3.0
Paul and Storm,Paul and Storm 's Works,CC 2.5 By Attribution NonCommercial and ShareAlike
Open Goldberg Variations,,CC0
