Pos,No,Driver,Constructor,Lap Time,Gap
1,8,Mika Häkkinen,McLaren - Mercedes,1:20.262,
2,7,David Coulthard,McLaren - Mercedes,1:20.996,+0.734
3,3,Michael Schumacher,Ferrari,1:21.785,+1.523
4,5,Giancarlo Fisichella,Benetton - Playlife,1:21.894,+1.632
5,6,Alexander Wurz,Benetton - Playlife,1:21.965,+1.703
6,4,Eddie Irvine,Ferrari,1:22.350,+2.088
7,15,Johnny Herbert,Sauber - Petronas,1:22.794,+2.532
8,9,Damon Hill,Jordan - Mugen-Honda,1:22.835,+2.573
9,18,Rubens Barrichello,Stewart - Ford,1:22.860,+2.598
10,1,Jacques Villeneuve,Williams - Mecachrome,1:22.885,+2.623
11,10,Ralf Schumacher,Jordan - Mugen-Honda,1:22.927,+2.665
12,11,Olivier Panis,Prost - Peugeot,1:22.963,+2.701
13,2,Heinz-Harald Frentzen,Williams - Mecachrome,1:23.197,+2.935
14,14,Jean Alesi,Sauber - Petronas,1:23.327,+3.065
15,16,Pedro Diniz,Arrows,1:23.704,+3.442
16,12,Jarno Trulli,Prost - Peugeot,1:23.748,+3.486
17,17,Mika Salo,Arrows,1:23.887,+3.625
18,19,Jan Magnussen,Stewart - Ford,1:24.112,+3.850
19,23,Esteban Tuero,Minardi - Ford,1:24.265,+4.003
20,22,Shinji Nakano,Minardi - Ford,1:24.538,+4.276
