Club,Wins,Last final won,Runners-up,Last final lost
Maccabi Los Angeles,5,1981,2,1982
Bethlehem Steel,5,1926,1,1918
Chicago Fire,4,2006,2,2011
Greek American AA,4,1967,1,1989
Philadelphia Tridents,4,1966,1,1964
Seattle Sounders FC,4,2014,1,2012
Fall River Marksmen,4,1931,0,
Sporting Kansas City,4,2017,0,
"Stix , Baer and Fuller",3,1935,3,1937
New York Pancyprian-Freedoms,3,1982,0,
D.C. United,3,2013,2,2009
Brooklyn Italians,2,1991,2,1990
Brooklyn Hispano,2,1944,0,
Los Angeles Galaxy,2,2005,2,2006
FC Dallas,2,2016,2,2007
