Date Signed,Position,Player,2008 Team,Contract
01-22,DB,Jimmy Williams,Did not play,Released
01-23,WR,Micheal Spurlock,Tampa Bay Buccaneers,TBA
01-29,WR,Maurice Price,New England Patriots,TBA
02-28,WR,Brandon Jones,Tennessee Titans,5 yrs / $ 16.5 mil
03-02,FB,Moran Norris,Detroit Lions,3 yrs / $ 5 mil
03-04,QB,Damon Huard,Kansas City Chiefs,TBA
03-10,DE,Demetric Evans,Washington Redskins,2 yrs / $ 3.8 mil
03-16,S,Lewis Baker,Did not play,Released
03-16,LB,Mark Washington,Did not play,TBA
03-27,OT,Marvel Smith,Pittsburgh Steelers,TBA
04-30,OT,Alex Boone,Ohio State Buckeyes †,TBA
04-30,LB,Diyral Biggs,Bowling Green Falcons †,TBA
04-30,WR,Dobson Collins,Gardner-Webb Runnin ' Bulldogs †,TBA
04-30,DE,Pannel Egboh,Stanford Cardinal †,TBA
04-30,QB,Kirby Freeman,Baylor Bears †,Released
04-30,G,Kyle Howard,Wyoming Cowboys †,TBA
04-30,G/C,Matthew Huners,South Florida Bulls †,Released
04-30,CB,Terrail Lambert,Notre Dame Fighting Irish †,TBA
04-30,DE,Khalif Mitchell,East Carolina Pirates †,TBA
04-30,RB,Kory Sheets,Purdue Boilermakers †,Released
