Vessel,Captor,Date,Location
Uncas,Porpoise,1 March 1844,Gallinas
Spitfire,Truxtun,24 March 1845,Pongas R
Patuxent,Yorktown,27 September 1845,Cape Mount
Pons,Yorktown,30 September 1845,Kabenda
Merchant,Jamestown,3 December 1845,Sierra Leone
Panther,Yorktown,15 December 1845,Kabenda
Robert Wilson,Jamestown,15 January 1846,Porto Praya
Malaga,Boxer,13 April 1846,Kabenda
Casket,Marion,2 August 1846,Kabenda
Chancellor,Dolphin,10 April 1847,Cape Palmas
Excellent,John Adams,23 April 1850,Ambriz
Martha,Perry,6 June 1850,Ambriz
Chatsworth,Perry,11 September 1850,Ambriz
Advance,Germantown,3 November 1852,Porto Praya
R.P . Brown,Germantown,23 January 1853,Porto Praya
H.N . Gambrill,Constitution,3 November 1853,Kongo
Glamorgan,Perry,10 March 1854,Kongo
W.G . Lewis,Dale,6 November 1857,Kongo
Brothers,Marion,8 September 1858,Mayumba
Julia Dean,Vincennes,28 December 1858,Cape Coast Castle
