Title,Director,Cast,Genre,Notes
…First Do No Harm,Jim Abrahams,"Meryl Streep , Fred Ward",Drama,Made for TV
12 Angry Men,William Friedkin,"Jack Lemmon , George C. Scott , James Gandolfini , Ossie Davis , William Petersen , Hume Cronyn , Edward James Olmos , Courtney B. Vance , Mykelti Williamson , Dorian Harewood , Armin Mueller-Stahl , Tony Danza",Drama,Made for TV
"20,000 Leagues Under the Sea",Michael Anderson,"Ben Cross , Richard Crenna",Adventure,Made for TV
"20,000 Leagues Under the Sea",Rod Hardy,"Michael Caine , Patrick Dempsey",Adventure,Made for TV
4 Little Girls,Spike Lee,,Documentary,Oscar-nominated
8 Heads in a Duffel Bag,Tom Schulman,"Joe Pesci , Andy Comeau , Kristy Swanson , David Spade , Dyan Cannon , George Hamilton",Black comedy,
Aberration,Tim Boxell,Pamela Gidley,Horror,
Absolute Power,Clint Eastwood,"Clint Eastwood , Gene Hackman , Ed Harris , Laura Linney , Judy Davis , Scott Glenn , E. G. Marshall , Dennis Haysbert , Melora Hardin , Richard Jenkins",Crime drama,Based on novel by David Baldacci
Addicted to Love,Griffin Dunne,"Meg Ryan , Matthew Broderick , Kelly Preston , Tchéky Karyo",Comedy,
Afterglow,Alan Rudolph,"Nick Nolte , Julie Christie , Lara Flynn Boyle , Jonny Lee Miller",Drama,
Against the Law,Jim Wynorski,"Nancy Allen , Nick Mancuso",Action,
Air Force One,Wolfgang Petersen,"Harrison Ford , Gary Oldman , Glenn Close , Wendy Crewson , Dean Stockwell , William H. Macy , Paul Guilfoyle , Liesel Matthews , Xander Berkeley",Thriller,2 Oscar nominations
The Alarmist,Evan Dunsky,"David Arquette , Kate Capshaw , Stanley Tucci",Comedy,
Alaska : Spirit of the Wild,George Casey,Alaska,Documentary,
Albino Alligator,Kevin Spacey,"Matt Dillon , Faye Dunaway , Gary Sinise , Joe Mantegna",Suspense,
Alien Resurrection,Jean-Pierre Jeunet,"Sigourney Weaver , Winona Ryder , Ron Perlman , Dan Hedaya , J.E . Freeman , Brad Dourif , Michael Wincott",Science fiction,preceded by Alien 3
Alien Nation : The Udara Legacy,Kenneth Johnson,Gary Graham,Science fiction,Made for TV
All Over Me,Alex Sichel,"Alison Folland , Tara Subkoff",,
American Perfekt,Paul Chart,"Fairuza Balk , Robert Forster , Amanda Plummer",Drama,
An Alan Smithee Film : Burn Hollywood Burn,Arthur Hiller,"Ryan O'Neal , Eric Idle , Coolio",Comedy,won 5 Razzies
