Frequency,UHF,kW,Service,System
471.25 MHz,21,100,S4C,PAL System I
482.166 MHz,22+,2,Digital 3 & 4 ( Mux 2 ),DVB-T
495.25 MHz,24,100,ITV1 Wales ( HTV Wales until 2002 ),PAL System I
506.166 MHz,25+,2,SDN ( Mux A ),DVB-T
519.25 MHz,27,100,BBC Two Wales,PAL System I
530.166 MHz,28+,2,BBC ( Mux 1 ),DVB-T
538.166 MHz,29+,1,Arqiva ( Mux C ),DVB-T
551.25 MHz,31,100,BBC One Wales,PAL System I
562.166 MHz,32+,2,BBC ( Mux B ),DVB-T
570.166 MHz,33+,1,Arqiva ( Mux D ),DVB-T
751.25 MHz,56,4,Channel 5,PAL System I
