Title,Developer ( s ),Publisher ( s ),Release Date,ESRB
Super Mario 64,Nintendo,Nintendo,"November 19 , 2006",E
Mario Kart 64,Nintendo,Nintendo,"January 29 , 2007",E
The Legend of Zelda : Ocarina of Time,Nintendo,Nintendo,"February 26 , 2007",E
Star Fox 64,Nintendo,Nintendo,"April 2 , 2007",E
F-Zero X,Nintendo,Nintendo,"June 25 , 2007",E
Paper Mario,Intelligent Systems,Nintendo,"July 16 , 2007",E
Wave Race 64,Nintendo,Nintendo,"August 6 , 2007",E
Yoshi 's Story,Nintendo,Nintendo,"September 17 , 2007",E
Sin and Punishment,Treasure,Nintendo,"October 1 , 2007",T
Pokémon Snap,"HAL Laboratory , Pax Softnica",Nintendo,"December 10 , 2007",E
1080° Snowboarding,Nintendo,Nintendo,"January 28 , 2008",E
Kirby 64 : The Crystal Shards,HAL Laboratory,Nintendo,"February 25 , 2008",E
Cruis ' n USA,Midway Games,Nintendo,"March 31 , 2008",E
Pokémon Puzzle League,"Nintendo Software Technology , Intelligent Systems",Nintendo,"May 5 , 2008",E
Mario Golf,Camelot Software,Nintendo,"October 6 , 2008",E
The Legend of Zelda : Majora 's Mask,Nintendo EAD,Nintendo,"May 18 , 2009",E
Super Smash Bros,HAL Laboratory,Nintendo,"December 21 , 2009",E
Ogre Battle 64 : Person of Lordly Caliber,"Quest , Dual Corporation",Square Enix,"March 29 , 2010",T
Mario Tennis,Camelot Software,Nintendo,"June 28 , 2010",E
Mario Party 2,Hudson Soft,Nintendo,"December 20 , 2010",E
