Club,Greek name,Settlement,Regional unit,Region
Almyros,Αλμυρός,Almyros,Magnesia,Thessaly
Atalanti,Αταλάντη,Atalanti,Phthiotis,Central Greece
Atromitos Palamas,Ατρόμητος Παλαμά,Palamas,Karditsa,Thessaly
Diagoras Stefanovikeio,Διαγόρας Στεφανοβικείου,Stefanovikeio,Magnesia,Thessaly
Dias Dion,Δίας Δίου,Dion,Pieria,Central Macedonia
Digenis Neochori,Διγενής Νεοχωρίου,Oichalia,Trikala,Thessaly
Iraklis Larissa,Ηρακλής Λάρισας,Larissa,Larissa,Thessaly
Karitsa,Καρίτσα,Karitsa,Pieria,Central Macedonia
Meteora,Μετέωρα,Kalampaka,Trikala,Thessaly
Oikonomos,Οικονόμος,Tsaritsani,Larissa,Thessaly
Pierikos,Πιερικός,Katerini,Pieria,Central Macedonia
Potamia,Ποταμιά,Megalo Chorio,Evrytania,Central Greece
Sellana,Σέλλανα,Proastio,Karditsa,Thessaly
Thiseas Agrias,Θησέας Αγριάς,Agria,Magnesia,Thessaly
