Name,Orientation,Foundation
Assemblies of God,Pentecostal,1940
Baptist Bible Fellowship International,Fundamentalist Baptist,
Bastion of Truth Reformed Churches in the Philippines,Calvinist,2004
Bread of Life Ministries International,Evangelical,1982
Capitol City Baptist Church,Baptist,1959
Cathedral of Praise,Full Gospel,1954
Christian and Missionary Alliance Churches of the Philippines,,1901
Christian Reformed Church in the Philippines,Calvinist,1962
Christ 's Commission Fellowship,Non-Denominational,1984
Convention of Philippine Baptist Churches,Mainline Baptist,1935
Day by Day Christian Ministries,Evangelical,1985
Destiny Church - Manila,Evangelical,1998
