,Name on the Register,Date listed,Location,City or town
1,Adams County Paleo-Indian District,"October 17 , 1974 ( # 74001389 )",North of U.S. Route 52 near Sandy Springs 38°36′48″N 83°17′39″W / 38.613333°N 83.294167°W / 38.613333 ; -83.294167 ( Adams County Paleo-Indian District ),Green Township
2,Buckeye Station,"May 1 , 1974 ( # 74001388 )",East of Manchester off U.S. Route 52 38°42′22″N 83°32′31″W / 38.70621°N 83.54194°W / 38.70621 ; -83.54194 ( Buckeye Station ),Monroe Township
3,Cockerill House,"November 21 , 1978 ( # 78001998 )",115 E. Main St. 38°47′41″N 83°32′42″W / 38.79459°N 83.54508°W / 38.79459 ; -83.54508 ( Cockerill House ),West Union
4,Dayton Power and Light Company Mound,"July 30 , 1974 ( # 74001391 )","On the grounds of the Dayton Power and Light 's Killen Station plant , east of Wrightsville 38°41′20″N 83°28′41″W / 38.689000°N 83.478000°W / 38.689000 ; -83.478000 ( Dayton Power and Light Company Mound )",Monroe Township
5,Harshaville Covered Bridge,"March 16 , 1976 ( # 76001357 )",Graces Run Rd . 38°54′28″N 83°32′37″W / 38.90787°N 83.54374°W / 38.90787 ; -83.54374 ( Harshaville Covered Bridge ),Oliver Township
6,Kirker Covered Bridge,"October 29 , 1975 ( # 75001309 )",Southwest of West Union off State Route 136 38°47′03″N 83°36′12″W / 38.78416°N 83.60328°W / 38.78416 ; -83.60328 ( Kirker Covered Bridge ),Liberty Township
7,Gov . Thomas Kirker Homestead,"November 3 , 1975 ( # 75001310 )",Southwest of West Union off State Route 136 38°46′28″N 83°35′57″W / 38.7745°N 83.59905°W / 38.7745 ; -83.59905 ( Gov . Thomas Kirker Homestead ),Liberty Township
8,Dr. A.C. Lewis House,"October 31 , 1980 ( # 80002931 )",103 South St. 38°56′28″N 83°39′04″W / 38.94112°N 83.65109°W / 38.94112 ; -83.65109 ( Dr. A.C. Lewis House ),Winchester
9,Serpent Mound,"October 15 , 1966 ( # 66000602 )",5 mi ( 8.0 km ) northwest of Locust Grove on State Route 73 39°01′33″N 83°25′49″W / 39.02573°N 83.43031°W / 39.02573 ; -83.43031 ( Serpent Mound ),Bratton Township
10,The Ridge,"October 8 , 1992 ( # 92001352 )",503 E. 8th St. 38°41′37″N 83°36′16″W / 38.69349°N 83.60437°W / 38.69349 ; -83.60437 ( The Ridge ),Manchester
11,Treber Inn,"May 17 , 1976 ( # 76001358 )",5 mi ( 8.0 km ) northeast of West Union on State Route 41 38°50′57″N 83°29′14″W / 38.84921°N 83.4871°W / 38.84921 ; -83.4871 ( Treber Inn ),Tiffin Township
12,Wamsley Village Site,"July 30 , 1974 ( # 74001390 )","West of Stout , near the mouth of Brush Creek . On the grounds of the Dayton Power and Light 's Killen Station plant 38°40′35″N 83°27′07″W / 38.676333°N 83.451806°W / 38.676333 ; -83.451806 ( Wamsley Village Site )",Monroe Township
13,West Union Presbyterian Church,"November 18 , 1976 ( # 76001359 )",108 S. 2nd St. 38°47′37″N 83°32′38″W / 38.7935°N 83.54375°W / 38.7935 ; -83.54375 ( West Union Presbyterian Church ),West Union
14,Wickerham Inn,"May 7 , 1979 ( # 79001778 )",Northeast of Peebles on State Route 41 38°58′13″N 83°23′39″W / 38.97038°N 83.39414°W / 38.97038 ; -83.39414 ( Wickerham Inn ),Franklin Township
15,John T. Wilson Homestead,"April 11 , 1977 ( # 77001039 )",Northeast of Seaman on State Route 770 38°57′48″N 83°31′57″W / 38.9633°N 83.53263°W / 38.9633 ; -83.53263 ( John T. Wilson Homestead ),Scott Township
16,Tet Woods Building,"March 25 , 1982 ( # 82003536 )",307 Main St. 38°47′41″N 83°32′52″W / 38.79477°N 83.54787°W / 38.79477 ; -83.54787 ( Tet Woods Building ),West Union
