Name,Province,City,Year,G,Remarks
Baitun Nur,Alberta,Calgary,2008,AMJ,"*House of Light Mosque , the largest mosque in Canada , opened in 2008 in Calgary"
Baitul Hadi Mosque,Alberta,Edmonton,,AMJ,Serves the local chapter of Ahmadiyya Muslim in Edmonton
Baitul Amaan Mosque,Saskatchewan,Lloydminster,2015,AMJ,Serves the local chapter of Ahmadiyya Muslim Community in Lloydminster
Baitur Rehman,British Columbia,"Delta ,",2013,AMJ,The Mosque serves the Vancouver Ahmadiyya Muslim Local Chapters Masjid : Baitur Rehman
Ahmaddiya Centre Mosque,Manitoba,Winnipeg,,AMJ,The Ahmaddiya Centre-Mosque in Winnipeg serves the local Ahmadiyya Chapter of Winnipeg
Ahmadiyya Muslim Center,Saskatchewan,Regina,2011/2012,AMJ,"Located in the City Center , an official mosque is under construction in the city on a bought plot the contract for which was signed in July 2013 . Estimated time of completion is mid of 2016"
Darur Rahmat Mosque,Saskatchewan,"Saskatoon , SK",,AMJ,*Serves the local chapter of Saskatoon but a much larger mosque is under construction in the south eastern sub urban area on an eight-acre plot which was bought in the late 1980s . The foundation stone was laid during the time of the fourth Khalifa
Baitul Hafeez Mosque,Nova Scotia,"Sydney , Nova Scotia",2004,AMJ,*The Ahmadiyya Muslim Jamaat of Sydney Chapter 's mosque serves as the center of the Jamaat for Eastern Canada
Mission House,Nova Scotia,"Sydney , Nova Scotia",2004,AMJ,"*The Ahmadiyya Muslim Jamaat of Sydney Chapter 's Mission House ( 2009 ) , which is adjacent to Baitul Hafeez Mosque , is furnished and serves as a guest house for visitors from outside Nova Scotia"
Ahmadiyya Abode of Peace,Ontario,North York,,AMJ,*A 14-story building run by the Ahmadiyya Muslim Community and predominantly inhabited by Ahmadis making up 98 percent of the nearly 150 families living in the building . A hall on the first floor of the building serves as the gathering center for the local chapter
Bait-ul Kareem Mosque,Ontario,"Cambridge Kitchener-Waterloo , Ontario",2006,AMJ,local mosque for the Ahmadi Muslim Community 's local chapter ; It was bought as a church and converted to a mosque
Baitul Mahdi,Ontario,Durham Oshawa,2005/6,AMJ,* A converted Mosque from a Dutch style castle was brought by a member of the Jamaat in 2005 and later donated to the Ahmadiyya Muslim Community to serve as Mosque and center for the local chapters of Oshawa and Durham . The property includes an 18.5-acre plot and has also regularly used by the Jamaat for regional sports events . The opening of the Masjid Al Mahdi took place in July 2006 during the visit of Khalifatul Masih the fifth to Canada
Bait-ul Islam House of Islam ( Peace and Submission ),Ontario,"Maple , Toronto ,",1992,AMJ,Adjacent to the Peace Village the largest mosque in Ontario acts as the National Headquarters of the Ahmadiyya Muslim Community in Canada ; ( 43°51′55″N 79°32′42″W / 43.86528°N 79.54500°W / 43.86528 ; -79.54500 )
Baitul Hamd,Ontario,"Mississauga Toronto ,",1999,AMJ,"* Also serves as Jamia Ahmadiyya for North America which is due to change in early 2012 as the Jamia will switch to the Headquarters in Maple Ontario . The complex has one large hall , a cafeteria , a library , several offices for local and regional chapters of the community and of Jamia Ahmadiyya North America as well . The second floors includes many class rooms as well"
Bait-ul Hanif Mosque,Ontario,Toronto,,AMJ,* the oldest mosque of the Ahmadiyya Muslim Community in its eastern GTA and serves as the local mosque for the local chapter of Toronto East
Bait-ul Ehsaan Mosque,Ontario,Windsor,,AMJ,"a primary school building which includes a Gym , several class rooms and small school field in the back lot was bought by the Ahmadiyya Muslim Community . The Masjid serves as the local Ahmadiyya Muslim chapter"
Baitul Afiyat Mosque,Ontario,Scarborough Markham,2008,AMJ,*An old church was bought and turned to a masjid in November 2008 . The property was first build in 1865 and is serving as a local mosque and gathering place for the Ahmadiyya Muslim local chapter of Scarborough and Markham . The center also serves as the regional center for the community in GTA East
Bait-ul Noor Mosque,Ontario,Hamilton,,AMJ,serves as the Mosque for the Local Ahmadiyya Muslim Chapters of Hamilton South and Hamilton North
Brampton Mosque,Ontario,Brampton,2005,AMJ,"*Foundation stone laid for Brampton Mosque in 2005 . When completed , it will have a larger interior than that of Bait-ul Islam Mosque in Maple"
Hadeeqa-e-Ahmad,Ontario,"Bradford , Ontario",,AMJ,"*Ahmadiyya Muslim Center consists of a large detached house on 250 acres of land which was bought by the community to serve as a Jalsa facility and a Moosian Graveyard . The land is used to grow corn and carrots . An orchard of 900 trees grows apples , pears and cherries"
