Power station,Max . capacity ( MW ),Turbines,Fuel type,Cycle
Barcaldine,55,2,natural gas,Combined
Braemar,502,3,coal seam gas,Open
"Bulwer Island , BP Refining",32,3,coal seam gas,Combined
Condamine,144,3,coal seam gas,Combined
Darling Downs,630,4,coal seam gas,Combined
Diamantina,242,4 ( gas ) 2 ( steam ),coal seam gas,Combined
Leichhardt,60,1,coal seam gas,Open
Mackay Gas Turbine,34,1,oil,Open
Mica Creek,318,12,natural gas,Combined
Mount Stuart,414,3,kerosene,Open
Oakey,282,2,natural gas,Open
Phosphate Hill,42,9,natural gas,Combined
Roma,80,2,natural gas,Open
Swanbank E,385,1,natural gas / coal seam gas,Combined
Tarong Gas Turbine,15,1,diesel,Open
Townsville,242,2,coal seam gas,Combined
