Year,Film,Language,Role
2012,The Victim - Theatrical Feature,Konkani,Director
2011,Expect The Unexpected Short Film,English,Writer/Director
2009,Unexpected Short Film,English,Writer/Director
2007,Vengeance Short Film,English,Writer/Director
2011,Let My Life Go By - Music Video,English,Director/Editor
2012,Tum Saath Nahi - Music Video,Hindi,Director/Editor
2012,Been Here Before - Short Film,English,Co-Director/Editor
2013,Adêus Moga - TV Movie,Konkani,Director
2014,Peon Ek Chaprasi - Short Film,Hindi,Director
2017,Tunch Mhojea Jivit - Johnny Dcunha Ft. Shashaa Tirupati Music Video,Konkani,Director
2018,WELCOME M1LL10NS - Feature Film,Konkani Hindi English Punjabi,Writer/Director
2018,"Go Goa Go ( Music Video ) For FC Goa Fans , Rosario Miranda Ft. Blasio Pinto",English,Director
2018,Formalin ( Music Video ) Khabir Moraes,English Konkani,Director
2018,Tere Bin Nai Lagda ( Music Video ) Shashaa Tirupati,Punjabi,Director/Editor
2018,LEARN FROM MIS [ TAKES ] with MILROY GOES,English,Himself
2019,Chaudhvin Ka Chand ( Cover Song ) Shashaa Tirupati with Crehyl Pereira,Urdu,Director/Co-Editor
2019,Do n't Know Why Norah Jones Cover by Shashaa Tirupati with Crehyl Pereira,English,Director/Co-Editor
2019,Pardesi ( Dev D ) Female Cover Version by Shashaa Tirupati,Hindi,Director/Editor
