Structure,Date,Municipality,Prefecture,Ref
Ganjōju-in Hōtō 願成就院宝塔 Ganjōjuin hōtō,1086-1184,Hiraizumi,Iwate,[ 16 ]
Shaku-in Gorintō 釈尊院五輪塔 Shakuin gorintō,1169,Hiraizumi,Iwate,[ 17 ]
* Chūson-ji Konjikidō 中尊寺金色堂 Chūsonji Konjikidō,1124,Hiraizumi,Iwate,[ 18 ]
Chūson-ji Sutra Repository 中尊寺経蔵 Chūsonji kyōzō,1064-1184,Hiraizumi,Iwate,[ 19 ]
Kōzō-ji Amidadō 高蔵寺阿弥陀堂 Kōzōji Amidadō,1177,Kakuda,Miyagi,[ 20 ]
Torii 鳥居 torii,1086-1184,Yamagata,Yamagata,[ 21 ]
Hachiman Jinja Torii 八幡神社鳥居 Hachiman Jinja torii,1086-1184,Yamagata,Yamagata,[ 22 ]
* Shiramizu Amidadō 八幡神社鳥居 Shiramizu Amidadō,1160,Iwaki,Fukushima,[ 23 ]
Gorintō 五輪塔 gorintō,1181,Tamakawa,Fukushima,[ 24 ]
* Ishiyama-dera Hondō 石山寺本堂 Ishiyamadera hondō,1096,Ōtsu,Shiga,[ 25 ]
* Ujigami Jinja Honden 宇治上神社本殿 Ujigami Jinja honden,1086-1184,Uji,Kyoto,[ 26 ]
Ōjõ Gokurakuin Amidadõ 往生極楽院阿弥陀堂 Ōjō Gokurakuin Amidadõ,1148,Kyoto,Kyoto,[ 27 ]
Tō-ji Treasure House 教王護国寺宝蔵 Kyōōgokokuji hōzō,1086-1184,Kyoto,Kyoto,[ 28 ]
Kōryū-ji Lecture Hall 広隆寺講堂 Kõryūji kõdõ,1165,Kyoto,Kyoto,[ 29 ]
* Jōruri-ji Three-Storey Pagoda 浄瑠璃寺三重塔 Jōruriji sanjūnotõ,before 1178,Kyoto,Kyoto,[ 30 ]
* Jōruri-ji Hondō 浄瑠璃寺本堂 Jōruriji hondō,1157,Kizugawa,Kyoto,[ 31 ]
* Daigo-ji Kondō 醍醐寺金堂 Daigoji kondō,1086-1184,Kyoto,Kyoto,[ 32 ]
* Daigo-ji Yakushidō 醍醐寺薬師堂 Daigoji Yakushidō,1121,Kyoto,Kyoto,[ 33 ]
Kongō-ji Tahōtō 金剛寺 多宝塔 Kongōji tahōtō,1086-1184,Kawachinagano,Osaka,[ 34 ]
* Ichijō-ji Three-Storey Pagoda 一乗寺三重塔 Kongōji tahōtō,1171,Kasai,Hyōgo,[ 35 ]
