Type of building,Name,Country and territory,Place,Floor area
Department store,Shinsegae Centum City,South Korea,Busan,"509,810 m ( 5,487,500 sq ft )"
Industrial building,Boeing Everett Factory,United States,"Everett , Washington","398,000 m ( 4.3 million sq ft )"
Legislature building,Palace of the Parliament,Romania,Bucharest,"365,000 m ( 3.93 million sq ft )"
Bus depot,Millennium Park Bus Depot,India,Delhi,"305,265 m ( 3.6 million sq ft )"
Courthouse,Istanbul Çağlayan Justice Palace,Turkey,Istanbul,"300,000 m ( 3.0 million sq ft )"
Bus terminal,Tel Aviv Central Bus Station,Israel,Tel Aviv,"230,000 m2 ( 2.5 million sq ft )"
Museum,Louvre Museum,France,Paris,"210,000 m ( 2,260,421 sq ft )"
Current residence,Presidential Complex,Turkey,Ankara,"200,020 m ( 2,152,997 sq ft )"
Current royal residence,Istana Nurul Iman,Brunei,Bandar Seri Begawan,"200,000 m ( 2,152,782 sq ft )"
Royal palace,Royal Palace of Caserta,Italy,Caserta,"235,000 m ( 2,529,519 sq ft )"
Shipbuilding hall,Meyer Werft Dockhalle 2,Germany,"Papenburg , Niedersachsen","63,000 m ( 678,000 sq ft )"
Hemispherical building,Ericsson Globe,Sweden,Stockholm,
