,Name on the Register,Date listed,Location,City or town
1,Annamede,"March 11 , 1987 ( # 87000218 )","RD 1 , Box 126 , U.S. Route 19 38°52′35″N 80°26′35″W / 38.876389°N 80.443056°W / 38.876389 ; -80.443056 ( Annamede )",Walkersville
2,Jonathan M. Bennett House,"June 9 , 1978 ( # 78002804 )",Court Ave. 39°02′11″N 80°27′55″W / 39.036389°N 80.465278°W / 39.036389 ; -80.465278 ( Jonathan M. Bennett House ),Weston
3,Jackson 's Mill,"February 23 , 1972 ( # 72001289 )",East of Jackson Mill on Route 1 39°05′46″N 80°27′59″W / 39.096111°N 80.466389°W / 39.096111 ; -80.466389 ( Jackson 's Mill ),Weston
4,Jackson 's Mill State 4-H Camp Historic District,"February 4 , 2005 ( # 04001598 )",160 Jackson Mill Rd . 39°05′55″N 80°28′12″W / 39.098611°N 80.47°W / 39.098611 ; -80.47 ( Jackson 's Mill State 4-H Camp Historic District ),Weston
5,May-Kraus Farm,"March 22 , 2006 ( # 06000175 )",3052 Crooked Run Rd . 39°01′22″N 80°37′46″W / 39.022778°N 80.629444°W / 39.022778 ; -80.629444 ( May-Kraus Farm ),Alum Bridge
6,St. Bernard Church and Cemetery,"July 12 , 1985 ( # 85001583 )",County Routes 20/6 and 17/2 38°59′35″N 80°35′34″W / 38.993056°N 80.592778°W / 38.993056 ; -80.592778 ( St. Bernard Church and Cemetery ),Camden
7,Upper Glady School,"March 20 , 2002 ( # 02000252 )","County Route 52 , 1.9 miles north of McCord Run Rd . 38°48′59″N 80°24′26″W / 38.816389°N 80.407222°W / 38.816389 ; -80.407222 ( Upper Glady School )",Crawford
8,Walkersville Covered Bridge,"June 4 , 1981 ( # 81000603 )",On County Route 19/17 near U.S. Route 19 38°51′30″N 80°27′39″W / 38.858333°N 80.460833°W / 38.858333 ; -80.460833 ( Walkersville Covered Bridge ),Walkersville
9,Weston Colored School,"April 9 , 1993 ( # 93000224 )",345 Center St. 39°02′23″N 80°27′53″W / 39.039722°N 80.464722°W / 39.039722 ; -80.464722 ( Weston Colored School ),Weston
10,Weston Downtown Historic District,"September 28 , 1985 ( # 85002468 )","Parts of Main , Center , and Court Aves. , plus 2nd and 3rd Sts . 39°02′13″N 80°28′05″W / 39.036944°N 80.468056°W / 39.036944 ; -80.468056 ( Weston Downtown Historic District )",Weston
11,Weston Downtown Residential Historic District,"February 2 , 2005 ( # 04001596 )","Portions of Main , Center , and Court Aves , plus E. 1st , E. 3rd , E. 4th , E. 5th , and E. 6th Sts . 39°02′32″N 80°27′47″W / 39.042222°N 80.463056°W / 39.042222 ; -80.463056 ( Weston Downtown Residential Historic District )",Weston
12,Weston State Hospital,"April 19 , 1978 ( # 78002805 )",River St. 39°02′18″N 80°28′16″W / 39.038333°N 80.471111°W / 39.038333 ; -80.471111 ( Weston State Hospital ),Weston
