Rank,Name,Age,Country,Worth ( USD ),Residence
1,Hassanal Bolkiah & Family,63,Brunei,20 Billion,Brunei
2,Henry Sy & Family,88,Philippines,15.8 Billion,Philippines
3,Children of Suharto,-,Indonesia,15 Billion,Indonesia
4,Dhanin Chearavanont & Family,74,Thailand,14.3 Billion,Thailand
5,Robert Kuok,88,Malaysia,12.5 Billion,Hong Kong
6,Charoen Sirivadhanabhakdi,70,Thailand,11.7 Billion,Thailand
7,Ananda Krishnan,75,Malaysia,11.7 Billion,Malaysia
8,Robert Budi Hartono & Michael Hartono,72/73,Indonesia,8.5 Billion,Indonesia
9,Lucio Tan,79,Philippines,7.5 Billion,Philippines
10,Quek Leng Chan,69,Malaysia,5.7 Billion,Malaysia
11,Teh Hong Piow,83,Malaysia,5.6 Billion,Malaysia
12,Tan Sri Lim Kok Thay,64,Malaysia,5.3 Billion,Malaysia
13,Imelda Marcos & Family,85,Philippines,5 Billion,Philippines
14,Wee Cho Yaw & Family,72,Singapore,5 Billion,Singapore
15,Kwek Leng Beng,69,Singapore,4.8 Billion,Singapore
16,Andrew Tan,61,Philippines,4.6 Billion,Philippines
17,Kwee brothers,69,Singapore,4.6 Billion,Singapore
18,Lee Shin Cheng,75,Malaysia,4.5 Billion,Malaysia
19,Enrique Razon Jr,53,Philippines,4.9 Billion,Philippines
20,Sri Prakash Lohia,60,Indonesia,4.2 Billion,Indonesia
