Station,Line,Locale,Opened,Closed
Bestum,Lilleaker,Bestum,1919,2004
Chr . Michelsens gate,Grünerløkka-Torshov,Torshov,? ? ? ?,? ? ? ?
Ekebergparken,Simensbråten,Ekeberg,1931,1967
Frederik Stangs gate,Skøyen,Skillebekk,? ? ? ?,? ? ? ?
Halvdan Svartes gate,Skøyen,Frogner,? ? ? ?,2004
Handelsbygningen,Briskeby,Solli,? ? ? ?,2004
Hollendergata,Ekeberg,Grønland,? ? ? ?,? ? ? ?
Jacob Aalls gate,Briskeby,Majorstuen,? ? ? ?,? ? ? ?
Magnus Bergs gate,Frogner,Elisenberg,? ? ? ?,? ? ? ?
Meltzers gate,Briskeby,Briskeby,? ? ? ?,2004
Operaen,Grünerløkka-Torshov,Sentrum,? ? ? ?,? ? ? ?
Posthuset,Grünerløkka-Torshov,Sentrum,1985,2006
Schweigaards gate,Gamleby,Sentrum,? ? ? ?,? ? ? ?
Simensbråten,Simensbråten,Simensbråten,1931,1967
Smedstua,Simensbråten,Simensbråten,1931,1967
Sporveisgata,Ullevål Hageby,Bislett,? ? ? ?,? ? ? ?
"Vestre Aker kirke , changed name to Ullevålsalleen before closure",Ullevål Hageby,Ullevål Hageby,? ? ? ?,? ? ? ?
Valkyrie plass,Briskeby,Majorstuen,? ? ? ?,2004
Vibes gate,Briskeby,Majorstuen,? ? ? ?,2004
