Player,Original club,New club,Traded for
Damien Adkins,Collingwood,West Coast Eagles,Andrew Williams
Justin Blumfield,Essendon,Richmond,draft pick # 28
Barry Brooks,Port Adelaide,St Kilda,draft pick # 6 & # 31
Leigh Brown,Fremantle,Kangaroos,draft pick # 13
Ronnie Burns,Geelong,Adelaide Crows,Ben Finnin
Blake Caracella,Essendon,Brisbane Lions,Damian Cupido and draft pick # 15
Wayne Carey,Kangaroos,Adelaide Crows,draft picks # 2 and # 18
Daniel Chick,Hawthorn,West Coast Eagles,draft pick # 8
Stuart Cochrane,Kangaroos,Port Adelaide,Michael Stevens
Damien Cupido,Brisbane Lions,Essendon,Blake Caracella
Nick Davis,Collingwood,Sydney Swans,draft pick # 21
Peter Everitt,St Kilda,Hawthorn,draft picks # 6 and # 22
Ben Finnin,Adelaide Crows,Geelong,Ronnie Burns
Barnaby French,Port Adelaide,Carlton,draft pick # 16
Des Headland,Brisbane Lions,Fremantle,draft picks # 3 and # 19
Chris Heffernan and pick # 17,Essendon,Melbourne,draft pick # 12
Kingsley Hunter,Western Bulldogs,Hawthorn,draft pick # 35
Kane Johnson,Adelaide Crows,Richmond,"Jason Torney , draft picks # 2 , # 18 and # 32"
Adam McPhee,Fremantle,Essendon,draft pick # 55
Luke Penny,Western Bulldogs,St Kilda,draft pick # 17
