Pos,No,Entrant,Driver,Car,Qual
1,53,Ford Motor Company,Ian Geoghegan,Ford XR Falcon GT,3:03.0
2,52,Ford Motor Company,Fred Gibson,Ford XR Falcon GT,3:03.2
3,61,Alec Mildren Racing Pty . Ltd,Kevin Bartlett,Alfa Romeo 1600 GTV,3:03.5
4,60,Alec Mildren Racing Pty . Ltd,Doug Chivas,Alfa Romeo 1600 GTV,3:05.2
5,54,Ford Motor Company,Bob Jane,Ford XR Falcon GT,3:05.2
6,62,M.W . Motors Pty . Ltd,Paul Hawkins,Alfa Romeo 1600 GTV,3:05.7
7,51,J . & B . Motors,Des West,Ford XR Falcon GT,3:06.0
8,49,M. Savva,Mike Savva,Ford XR Falcon GT,3:06.8
9,50,Gregory 's ( Motors ) Pty . Ltd,Greg Cusack,Ford XR Falcon GT,NA
10,55,Needham 's Motors Pty . Ltd,Warren Weldon,Studebaker Lark,NA
