Name,District,Opened,Code
Whampoa,Kowloon City,23 October 2016,WHA
Ho Man Tin,Kowloon City,23 October 2016,HOM
Yau Ma Tei formerly Waterloo,Yau Tsim Mong,10 May 1982,YMT
Mong Kok formerly Argyle,Yau Tsim Mong,10 May 1982,MOK
Prince Edward,Yau Tsim Mong,10 May 1982,PRE
Shek Kip Mei,Sham Shui Po,1 October 1979,SKM
Kowloon Tong,Sham Shui Po / Kowloon City,1 October 1979,KOT
Lok Fu,Wong Tai Sin,1 October 1979,LOF
Wong Tai Sin,Wong Tai Sin,1 October 1979,WTS
Diamond Hill,Wong Tai Sin,1 October 1979,DIH
Choi Hung,Wong Tai Sin / Kwun Tong,1 October 1979,CHH
Kowloon Bay,Kwun Tong,1 October 1979,KOB
Ngau Tau Kok,Kwun Tong,1 October 1979,NTK
Kwun Tong,Kwun Tong,1 October 1979,KWT
Lam Tin,Kwun Tong,1 October 1989,LAT
Yau Tong,Kwun Tong,4 August 2002,YAT
Tiu Keng Leng,Sai Kung,18 August 2002,TIK
