Overall Rank,Stadium,Capacity,Club,Division,City
1,Telia Parken,"38,065",F.C . Copenhagen,Danish Superliga,"Østerbro , Copenhagen"
2,Brøndby Stadium,29.000,Brøndby IF,Danish Superliga,Brøndbyvester
3,Ceres Park,21.000,Aarhus GF,Danish Superliga,Aarhus
4,Blue Water Arena,"18,000",Esbjerg fB,Danish Superliga,Esbjerg
5,Nature Energy Park,"13,990",Odense BK,Danish Superliga,Odense
6,Aalborg Portland Park,"13,990",AaB,Danish Superliga,Aalborg
7,Gladsaxe Stadium,"13,800",Akademisk Boldklub,Danish 2nd Division,"Søborg , Gladsaxe"
8,Valby Idrætspark,"13,000",Boldklubben Frem,Danish 2nd Division,"Valby , Copenhagen"
9,MCH Arena,"11,800",FC Midtjylland,Danish Superliga,Herning
10,Vejle Stadium,"10,418",Vejle Boldklub,Danish Superliga,Vejle
11,CASA Arena,"10,400",AC Horsens,Danish Superliga,Horsens
12,BioNutria Park,"10,300",Randers FC,Danish Superliga,Randers
13,Right to Dream Park,"10,300",FC Nordsjælland,Danish Superliga,Farum
14,Sydbank Park,"10,107",SønderjyskE,Danish Superliga,Haderslev
15,Energi Viborg Arena,"10,066",Viborg FF,NordicBet Liga,Viborg
16,Lyngby Stadion,"10,000",Lyngby BK,NordicBet Liga,Kongens Lyngby
17,JYSK Park,"10,000",Silkeborg IF,NordicBet Liga,Silkeborg
18,Næstved Stadium,"10,000",Næstved BK,Danish 2nd Division,Næstved
19,Kolding Stadion,"10,000",Kolding IF,Danish 2nd Division,Kolding
20,SPAR Nord Arena,10.000,Skive IK,NordicBet Liga,Skive
