Name,M,G,Degree,Notes
Lalith Athulathmudali,1955,1960,"BA Jurisprudence ( 2nd , 1958 ) , BCL ( 2nd , 1960 )",President of the Oxford Union ( 1958 ) ; a Sri Lankan politician ; killed by the Tamil Tigers in 1993
Neal Blewett ( HF ),1957,1959,BA PPE ( 2nd ),"Member of the Australian House of Representatives ( 1977-1994 ) , Government Minister ( 1983-1994 ) , High Commissioner to the UK ( 1994-1998 )"
Joseph Clearihue,1911,1914,"BA Jurisprudence ( 2nd , 1913 ) , BCL ( 3rd , 1914 )","Canadian Rhodes scholar ; later became a member of the Legislative Assembly of British Columbia and a county court judge ; also chairman of the council of Victoria College , British Columbia ( which became the University of Victoria under his leadership )"
Don Baron Jayatilaka,1910,1912,BA Jurisprudence ( 3rd ),"Ceylonese statesman ( vice-chairman of the Board of Ministers , Leader of the State Council , and Minister for Home Affairs )"
Terry Le Sueur,1960 ?,1963,BA Physics ( 3rd ),Chief Minister of Jersey 2008-2011
Thomas Lloyd,1658,1661,Law and medicine,Politician in the province of Pennsylvania
Norman Manley ( HF ),1914,1921,"BA Jurisprudence , BCL ( 2nd )",A Rhodes scholar whose studies were interrupted by World War I ; Chief Minister of Jamaica ( 1955-1962 )
P. T. Rajan,1912,1915,BA Modern History ( 4th ),Chief Minister of Madras Presidency ( April - August 1936 )
Harold Rushworth,1898 ?,1901 ?,BA Jurisprudence,"Emigrated to New Zealand in 1923 , becoming an MP for the Country Party in 1928"
Pixley ka Isaka Seme,1906,1909,BCL,Founder member of the African National Congress
Heather Wilson,1982,1985,"MPhil ( 1984 ) , DPhil in International Relations ( 1985 )","Republican member of the US House of Representatives , representing New Mexico 's 1st congressional district ( June 1998 - January 2009 ) ; the first Jesus Old Member elected to the House"
