Recipients,Medals,Seasons
Russell Ebert,6,"1971 , 1972 , 1974 , 1976 , 1977 , 1981"
John Cahill,4,"1966 , 1968 , 1970 , 1973"
Kane Cornes,4,"2007 , 2008 , 2010 , 2012"
Geof Motley,4,"1958 , 1959 , 1963 , 1965"
Harry Phillips,4,"1888 , 1891 , 1892 , 1893"
Jeff Potter,4,"1961 , 1964 , 1967 , 1969"
Bob Quinn,4,"1937 , 1938 , 1945 , 1947"
Warren Tredrea,4,"2001 , 2004 , 2005 , 2009"
Craig Bradley,3,"1982 , 1984 , 1985"
Stephen Clifford,3,"1978 , 1980 , 1983"
Les Dayman,3,"1923 , 1924 , 1928"
Robbie Gray,3,"2014 , 2015 , 2016"
Dick Russell,3,"1948 , 1949 , 1951"
Thomas Smith,3,"1877 , 1888 , 1889"
Charlie Adams,2,"1920 , 1921"
Jack Ashley,2,"1914 , 1919"
Travis Boak,2,"2011 , 2019"
Lewis Corston,2,"1902 , 1904"
Jack Dermody,2,"1933 , 1935"
Sinclair Dickson,2,"1908 , 1909"
