Year,Title,Role,Notes
1930,Anna Christie,Anna Christie,Nominated - Academy Award for Best Actress
1930,Romance,Madame Rita Cavallini,Nominated - Academy Award for Best Actress
1930,Anna Christie,Anna Christie,MGM 's German version of Anna Christie was also released in 1930
1931,Inspiration,Yvonne Valbret,
1931,Susan Lenox ( Her Fall and Rise ),Susan Lenox,
1931,Mata Hari,Mata Hari,"After the multi-star Grand Hotel , Garbo 's highest-grossing film"
1932,Grand Hotel,Grusinskaya,Academy Award for Best Picture
1932,As You Desire Me,Zara aka Marie,
1933,Queen Christina,Queen Christina,
1934,The Painted Veil,Katrin Koerber Fane,
1935,Anna Karenina,Anna Karenina,New York Film Critics Circle Award for Best Actress
1936,Camille,Marguerite Gautier,New York Film Critics Circle Award for Best Actress National Board of Review Best Acting Award Nominated - Academy Award for Best Actress
1937,Conquest,Countess Marie Walewska,
1939,Ninotchka,Nina Ivanovna Ninotchka Yakushova,National Board of Review Best Acting Award Nominated - Academy Award for Best Actress Nominated - New York Film Critics Circle Award for Best Actress
1941,Two-Faced Woman,Karin Borg Blake,National Board of Review of Motion Pictures Best Acting Award
