Canton,Pop . ( 2010 ),Area ( km² ),Seat/capital
Calvas,"28,185","841,1",Cariamanga
Catamayo,"30,638",646,Catamayo
Celica,"14,468",518,Celica
Chaguarpamba,"7,161",311,Chaguarpamba
Espíndola,"14,799",514,Amaluza ( Espíndola )
Gonzanamá,"12,716",693,Gonzanamá
Loja,"214,855","1,881",Loja
Macará,"19,018",575,Macará
Olmedo,"4,870",112,Olmedo
Paltas,"23,801","1,145",Catacocha
Pindal,"8,645",200,Pindal
Puyango,"15,513",634,Alamor
Quilanga,"4,337",235,Quilanga
Saraguro,"30,183","1,075",Saraguro
Sozoranga,"7,465",410,Sozoranga
Zapotillo,"12,312","1,209",Zapotillo
