Title,Start,End
The $ treet,2000,
The 10th Kingdom,2000,
Welcome to New York,2000,2001
Law & Order : Criminal Intent,2001,2011
Grounded for Life,2001,2005
The Job,2001,2002
Animal Precinct,2001,2008
24,2001,2010
Family Affair,2002,2003
Less Than Perfect,2002,2006
What I Like About You,2002,2006
Without a Trace,2002,2009
America 's Next Top Model,2003,present
Tarzan,2003,
Spider-Man : The New Animated Series,2003,2003
Teenage Mutant Ninja Turtles,2003,2009
Tru Calling,2003,2005
The Apprentice,2004,2017
The Jury,2004,
CSI : NY,2004,2013
