Book,Author ( s ),Original language,First published,Approximate sales
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45 million
Jonathan Livingston Seagull,Richard Bach,English,1970,44 million
The Very Hungry Caterpillar,Eric Carle,English,1969,43 million
Cosmos,Carl Sagan,English,1980,40 million < https : //www.nationalgeographicpartners.com/press/2020/1/cosmos -- possible-worlds/ >
A Message to Garcia,Elbert Hubbard,English,1899,40 million
Sophie 's World ( Sofies verden ),Jostein Gaarder,Norwegian,1991,40 million
Flowers in the Attic,V. C. Andrews,English,1979,40 million
To Kill a Mockingbird,Harper Lee,English,1960,40 million
Angels & Demons,Dan Brown,English,2000,39 million
Kane and Abel,Jeffrey Archer,English,1979,37 million
How the Steel Was Tempered ( Как закалялась сталь ),Nikolai Ostrovsky,Russian,1932,36.4 million copies in USSR
War and Peace ( Война и мир ),Leo Tolstoy,Russian,1869,36.0 million copies in USSR
The Diary of Anne Frank ( Het Achterhuis ),Anne Frank,Dutch,1947,35 million
Your Erroneous Zones,Wayne Dyer,English,1976,35 million
The Purpose Driven Life,Rick Warren,English,2002,33 million
The Thorn Birds,Colleen McCullough,English,1977,33 million
The Kite Runner,Khaled Hosseini,English,2003,31.5 million
Valley of the Dolls,Jacqueline Susann,English,1966,31 million
The Lost Symbol,Dan Brown,English,2009,30 million
Gone with the Wind,Margaret Mitchell,English,1936,30 million
