Year,Title,Role,Notes
1957,The Caucasian Chalk Circle,Natella Abashwili,"Theatre Royal , York Festival"
1964,King Lear,Cordelia,Royal Shakespeare Company ( European/US Tour )
1966,Twelfth Night,Viola,Royal Shakespeare Company
1970,Abelard and Heloise,Heloise,"Wyndham 's Theatre , London"
1971,Abelard and Heloise,Heloise,"Brooks Atkinson Theatre , New York"
1972,Macbeth,Lady Macbeth,"Old Vic Theatre , London"
1972,Jumpers,Dorothy Moore,"Old Vic Theatre , London"
1973,The Misanthrope,Célimène,"Old Vic Theatre , London"
1974,Pygmalion,Eliza Doolittle,"Albery Theatre , London"
1975,The Misanthrope,Célimène,"St. James Theatre , New York"
1978,Night and Day,Ruth Carson,"Phoenix Theatre , London"
1982,Colette,Colette,US national tour
1983,Heartbreak House,Lady Ariadne Utterword,"Theatre Royal Haymarket , London"
1985,Little Eyolf,Rita Allmers,"Lyric Theatre , Hammersmith , London"
1985,Antony and Cleopatra,Cleopatra,"Chichester Festival Theatre , UK"
1986,Wildfire,Bess,"Theatre Royal , Bath & Phoenix Theatre , London"
1987,Follies,Phyllis Rogers Stone,"Shaftesbury Theatre , London"
1990,Love Letters,Melissa,"Stage Door Theatre , San Francisco"
1992,Putting It Together,,"Old Fire Station Theatre , Oxford"
1992,Berlin Bertie,Rosa,"Royal Court Theatre , London"
