Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Rick Donnelly,P,Wyoming,WAC
Atlanta Falcons,Tiger Greene,S,Western Carolina,SoCon
Buffalo Bills,Scott Norwood,K,James Madison,Ind . ( I-AA )
Buffalo Bills,Todd Schlopy,K,Michigan,Big Ten
Chicago Bears,Keith Ortego,WR,McNeese State,Southland
Chicago Bears,Ken Taylor,CB,Oregon State,Pac-10
Chicago Bears,Mike Tomczak,QB,Ohio State,Big Ten
Cleveland Browns,Steve Collier,T,Bethune-Cookman,MEAC
Cleveland Browns,Herman Fontenot,RB,LSU,SEC
Cleveland Browns,Felix Wright,S,Drake,MVC
Dallas Cowboys,Bryan Wagner,P,Cal State Northridge,WFC
Denver Broncos,Greg Kragen,NT,Utah State,Big West
Los Angeles Rams,Dieter Brock,QB,Jacksonville State,Gulf South
Los Angeles Raiders,Rod Barksdale,WR,Arizona,Pac-10
New Orleans Saints,Brett Maxie,S,Texas Southern,SWAC
New Orleans Saints,Chuck Pitcock,G,Tulane,Ind
Seattle Seahawks,Gale Gilbert,QB,California,Pac-10
Seattle Seahawks,Eugene Robinson,S,Colgate,Ind . ( I-AA )
Tampa Bay Buccaneers,Calvin Magee,TE,Southern,SWAC
Tampa Bay Buccaneers,Alan Veingrad,OT,East Texas State,Lone Star
