City served,State,ICAO,IATA,Airport name,Administrator
Água Boa,Mato Grosso,SWHP,HPX,Água Boa Airport,
Alegrete,Rio Grande do Sul,SSLT,ALQ,Gaudêncio Machado Ramos Airport,
Almeirim,Pará,SNYA,GGF,Almeirim Airport,
Alta Floresta,Mato Grosso,SBAT,AFL,Piloto Oswaldo Marques Dias Airport,Aeroeste
Altamira,Pará,SBHT,ATM,Altamira Airport,Infraero
Apucarana,Paraná,SSAP,APU,Capt . João Busse Airport,SEIL
Aracaju,Sergipe,SBAR,AJU,Santa Maria Airport,Infraero / AENA
Aracati,Ceará,SBAC,ARX,Dragão do Mar Airport,Socicam
Araçatuba,São Paulo,SBAU,ARU,Dario Guarita Airport,DAESP
Araguaína,Tocantins,SWGN,AUX,Araguaína Airport,Esaero
Arapongas,Paraná,SSOG,APX,Alberto Bertelli Airport,SEIL
Arapoti,Paraná,SSYA,AAG,Avelino Vieira Airport,SEIL
Araraquara,São Paulo,SBAQ,AQA,Bartolomeu de Gusmão Airport,DAESP
Araxá,Minas Gerais,SBAX,AAX,Araxá Airport,
Aripuanã,Mato Grosso,SWRP,AIR,Aripuanã Airport,
Armação dos Búzios,Rio de Janeiro,SBBZ,BZC,Umberto Modiano Airport,
Arraias,Tocantins,SWRA,AAI,Arraias Airport,
Assis,São Paulo,SNAX,AIF,Marcelo Pires Halzhausen Airport,DAESP
Avaré / Arandu,São Paulo,SDRR,QVP,Comte . Luiz Gonzaga Luth Airport,DAESP
Bagé,Rio Grande do Sul,SBBG,BGX,Comte . Gustavo Kraemer Airport,Infraero
