Church,Dates,"City , State"
Central Mine Methodist Church,1869 built 1970 NRHP-listed,"Central , Michigan"
West Vienna United Methodist Church,1882 built 1983 NRHP-listed,"Clio , Michigan"
Central United Methodist Church,1866 built 1982 NRHP-listed,"Detroit , Michigan"
Metropolitan United Methodist Church,built NRHP-listed,"Detroit , Michigan"
Cass Avenue Methodist Episcopal Church,1883 built 1982 NRHP-listed,"Detroit , Michigan"
Dixboro United Methodist Church,built NRHP-listed,"Dixboro , Michigan"
Highland United Methodist Church,built NRHP-listed,"Highland , Michigan"
First United Methodist Church,built NRHP-listed,"Highland Park , Michigan"
Trinity United Methodist Church,built NRHP-listed,"Highland Park , Michigan"
Central Methodist Episcopal Church,built NRHP-listed,"Lansing , Michigan"
Grace Methodist Episcopal Church,built NRHP-listed,"Petoskey , Michigan"
First Methodist Episcopal Church of Pokagon,built NRHP-listed,"Pokagon Township , Michigan"
First Methodist Episcopal Church,built NRHP-listed,"Port Hope , Michigan"
Salem Methodist Episcopal Church and Salem Walker Cemetery,built NRHP-listed,"Salem , Michigan"
Central Methodist Episcopal Church,built NRHP-listed,"Sault Ste . Marie , Michigan"
