Club,League/Division,Lvl,State,City
Hakoah Sydney City East,National Premier Leagues NSW 2,2,New South Wales,Sydney
Hamilton Olympic,National Premier Leagues Northern NSW,2,New South Wales,Newcastle
Hampton Park United Sparrows,Victorian State League Division 4,7,Victoria,Melbourne
Harrisfield Hurricanes,Victorian State League Division 4,7,Victoria,Melbourne
Hawkesbury City,National Premier Leagues NSW 4,5,New South Wales,Sydney
Healesville,Victorian State League Division 4,7,Victoria,Healesville
Heatherton United,Victorian State League Division 2,5,Victoria,Melbourne
Hellenic Athletic,NorZone Premier League,2,Northern Territory,Darwin
Heidelberg Eagles,Victorian State League Division 5,8,Victoria,Melbourne
Heidelberg Stars,Victorian State League Division 3,6,Victoria,Melbourne
Heidelberg United,National Premier Leagues Victoria,2,Victoria,Melbourne
Hills Brumbies FC,National Premier Leagues NSW 2,3,New South Wales,Sydney
HNK O'Connor Knights FC,Capital League,3,Australian Capital Territory,Canberra
Hobart United FC,Southern Championship,3,Tasmania,Hobart
Hobart Zebras,National Premier Leagues Tasmania,2,Tasmania,Hobart
Holland Park Hawks,Football Queensland Premier League,3,Queensland,Brisbane
Hoppers Crossing,Victorian State League Division 2,5,Victoria,Melbourne
Hume City,National Premier Leagues Victoria,2,Victoria,Melbourne
Hume United,Victorian State League Division 2,5,Victoria,Melbourne
Huon Valley,Southern Conference,4,Tasmania,Huonville
