Year,Film,Cast
2002,Thamizh,"Prashanth , Simran"
2003,Saamy,"Vikram , Trisha Krishnan"
2004,Kovil,"Silambarasan , Sonia Agarwal"
2004,Arul,"Vikram , Jyothika"
2005,Ayya,"Sarathkumar , Napoleon , Nayanthara"
2005,Aaru,"Suriya , Trisha"
2007,Thaamirabharani,"Vishal , Bhanu"
2007,Vel,"Suriya , Asin"
2008,Seval,"Bharath , Simran , Poonam Bajwa"
2010,Singam,"Suriya , Anushka Shetty , Prakash Raj"
2011,Venghai,"Dhanush , Rajkiran , Tamannaah"
2013,Singam II,"Suriya , Anushka Shetty , Hansika Motwani"
2014,Poojai,"Vishal , Shruthi Haasan , Sathyaraj"
2017,Singam III,"Suriya , Anushka Shetty , Shruthi Haasan"
2018,Saamy Square,"Vikram , Keerthy Suresh , Aishwarya Rajesh"
2021,Aruvaa,"Suriya , Raashi Khanna"
