Name,Home state,Presented credentials,Terminated
Caleb Cushing,Massachusetts,"June 12 , 1844","August 27 , 1844"
Alexander Hill Everett,Massachusetts,"October 26 , 1846","June 28 , 1847"
John W. Davis,Indiana,"October 6 , 1848","May 25 , 1850"
Humphrey Marshall,Kentucky,"July 4 , 1853","January 27 , 1854"
Robert Milligan McLane,Maryland,"November 3 , 1854","December 12 , 1854"
Peter Parker,Massachusetts,"July 15 , 1856","August 25 , 1857"
William B. Reed,Pennsylvania,"May 3 , 1858","November 11 , 1858"
John Elliott Ward,Georgia,"August 10 , 1859","December 15 , 1860"
Anson Burlingame,Massachusetts,"August 20 , 1862","November 21 , 1867"
John Ross Browne,California,"October 28 , 1868","July 5 , 1869"
Frederick Low,California,"April 27 , 1870","July 24 , 1873"
Benjamin Avery,California,"November 29 , 1874","November 8 , 1875"
George Seward,California,"April 24 , 1876","August 16 , 1880"
James Burrill Angell,Michigan,"August 16 , 1880","October 4 , 1881"
John Russell Young,New York,"August 17 , 1882","April 7 , 1885"
Charles Harvey Denby,Indiana,"October 1 , 1885","July 8 , 1898"
Edwin H. Conger,Iowa,"July 8 , 1898","April 4 , 1905"
William Woodville Rockhill,District of Columbia,"June 17 , 1905","June 1 , 1909"
William J. Calhoun,Illinois,"April 21 , 1910","February 26 , 1913"
