Round,Pick,Player,Team,Position
2,38,Butch Wynegar,Minnesota Twins,Catcher
3,56,Pete Vuckovich,Chicago White Sox,Pitcher
5,99,Jim Morrison,Philadelphia Phillies,Third Baseman
5,119,Steve Henderson,Cincinnati Reds,Shortstop-Third Baseman
6,131,Ed Whitson,Pittsburgh Pirates,Pitcher
8,171,Mark Clear,Philadelphia Phillies,Pitcher
9,214,Ron Oester,Cincinnati Reds,Shortstop
10,220,Mickey Mahler,Atlanta Braves,Pitcher
10,231,Mark Fidrych,Detroit Tigers,Pitcher
11,256,Scott Sanderson *,Kansas City Royals,Pitcher
12,263,Bump Wills *,San Diego Padres,Second Baseman
12,268,Jim Gantner,Milwaukee Brewers,Shortstop
14,317,Bob Welch,Chicago Cubs,Pitcher
14,325,Mickey Hatcher *,Houston Astros,Outfielder
19,432,Hubie Brooks *,Montreal Expos,Shortstop
28,585,Paul Molitor *,St. Louis Cardinals,Shortstop
36,667,Eric Show *,Minnesota Twins,Pitcher
