Team,Location,Venue,Capacity
Aktobe,Aktobe,Aktobe Central Stadium,"13,500"
Akzhayik,Oral,Petr Atoyan Stadium,"8,320"
Astana,Astana,Astana Arena,"30,000"
Atyrau,Atyrau,Munayshy Stadium,"9,000"
Irtysh,Pavlodar,Pavlodar Central Stadium,"15,000"
Kairat,Almaty,Almaty Central Stadium,"25,057"
Kaisar,Kyzylorda,Gany Muratbayev Stadium,"0 7,300"
Okzhetpes,Kokshetau,Okzhetpes Stadium,"10,000"
Ordabasy,Shymkent,"K. Munaitpasov Stadium , Shymkent","37,000"
Shakhter,Karagandy,Shakhtyor Stadium,"19,000"
Sunkar,Kaskelen,Tauelsizdik 10 zhyldygy,"0 2,500"
Taraz,Taraz,Taraz Central Stadium,"12,525"
Tobol,Kostanay,Kostanay Central Stadium,"0 8,323"
Zhetysu,Taldykorgan,Zhetysu Stadium,"0 4,000"
