Year,Title,Role
1982,Diner,William Billy Howard
1984,Just the Way You Are,Frank Bantam
1987,Made in Heaven,Tom Donnelly
1988,Spellbinder,Jeff Mills
1990,Love or Money,Chris Murdoch
1989,The More You Know,Himself
1992,Year of the Comet,Oliver Plexico
1994,Caroline at Midnight,Detective Ray Dillon
1995,Denise Calls Up,Frank Oliver
1995,Dr. Jekyll and Ms. Hyde,Doctor Richard Jacks
1996,The Associate,Frank Peterson
1998,The Object of My Affection,Dr. Robert Joley
1998,The Batman/Superman Movie,Clark Kent / Superman
1999,Seven Girlfriends,Jesse Campbell
2003,Basic,Colonel Bill Styles
2004,Against the Ropes,Gavin Reese
2004,Bereft,Uncle 'Happy '
2004,Return to Sender,Martin North
2005,My Neighbor Totoro ( Tonari no Totoro ),Professor Tatsuo Kusakabe ( father )
2006,Superman : Brainiac Attacks,Clark Kent / Superman
