Region,Rnd,Host,Venue,City,State
East,1 & 2,University of Virginia,University Hall ( University of Virginia ),Charlottesville,Virginia
East,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
East,1 & 2,University of Alabama,Coleman Coliseum,Tuscaloosa,Alabama
East,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
Mideast,1 & 2,Western Kentucky University,E.A . Diddle Arena,Bowling Green,Kentucky
Mideast,1 & 2,University of Washington,Hec Edmundson Pavilion,Seattle,Washington
Mideast,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,1 & 2,Texas Tech University,Lubbock Municipal Coliseum,Lubbock,Texas
Midwest,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Midwest,1 & 2,Pennsylvania State University,Recreation Building ( Rec Hall ),University Park,Pennsylvania
Midwest,1 & 2,University of Colorado,CU Events Center ( Coors Events Center ),Boulder,Colorado
Midwest,1 & 2,George Washington University,Charles E. Smith Athletic Center,Washington,District of Columbia
West,1 & 2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
West,1 & 2,Vanderbilt University,Memorial Gymnasium ( Vanderbilt University ),Nashville,Tennessee
West,1 & 2,Stanford University,Maples Pavilion,Stanford,California
West,1 & 2,San Diego State,Peterson Gym,San Diego,California
