Name,Location,State,Major Command,Unit Designation,Notes/Mission
Altus Air Force Base,Altus,OK,AETC,97th Air Mobility Wing,"19th Air Force . This wing is tasked to train C-17 Globemaster and KC-135 Stratotanker crews in advanced specialty programs for 3,000 students yearly . 97th AMW operates C-17 Globemaster III for operational training flights . Additionally the base was identified as the training location for the new KC-46 tanker , anticipated to arrive in 2016"
Arnold Air Force Base,Tullahoma,TN,AFMC,Arnold Engineering Development Center,"Non-flying base ; Primary AFMC research and development center . The base is home to the largest flight simulation facilities in the world ( AEDC ) . In 2002 , $ 10 million was spent to expand these facilities even further . There are 58 aerodynamic and propulsion wind tunnels , rocket and turbine engine test cells , space environmental chambers , arc heaters , ballistic ranges and other specialized units"
Barksdale Air Force Base,Bossier City,LA,AFGSC,2d Bomb Wing 307th Bomb Wing ( AFRC ),The 2d Bomb Wing is the oldest bomb wing in the Air Force and one of two B-52 Stratofortress wings ; 307th BW Air Force Reserve B-52 wing integrated with 2d BW . HQ Eighth Air Force HQ Air Force Global Strike Command
Beale Air Force Base,Marysville,CA,ACC,9th Reconnaissance Wing 940th Wing ( AFRC ),"12th Air Force . U-2R Dragonlady , RQ-4 Global Hawk and MC-12 Liberty reconnaissance operations worldwide . The base , considered to be the Air Force 's model ISR hubs and includes DGS-2 . The base covers 23,000 hectares and is home to 6,000 personnel"
Buckley Air Force Base,Aurora,CO,AFSPC,460th Space Wing 140th Wing ( CO ANG ),"Non-Flying wing ; provides missile warning , missile defense , technical intelligence , satellite command and control . Colorado ANG operates F-16 Fighting Falcons"
Cannon Air Force Base,Clovis,NM,AFSOC,27th Special Operations Wing,Special Operations base ; SOW plans and executes specialized and contingency operations globally . Aircraft include MC-130 Combat Spear ; MQ-1 Predator ; AC-130 Gunship ; CV-22 Osprey
Cape Canaveral Air Force Station,Cocoa Beach,FL,AFSPC,45th Space Wing,"45 SW manages all launches of unmanned rockets at Cape Canaveral These rockets include satellites for the US military , and the National Reconnaissance Office as well as scientific payload launches in support of NASA and foreign governments"
Cape Cod Air Force Station,Bourne,MA,AFSPC,21st Space Wing,6th Space Warning Squadron operating the PAVE PAWS radar
Cavalier Air Force Station,Mountain,ND,AFSPC,21st Space Wing,Non-Flying wing ; Operated by the 10th Space Warning Squadron . The station monitors and tracks potential missile launches against North America . NORAD relocated Cheyenne Mountain AFS operations to Peterson Air Force Base for efficiency on 28 July 2006
Columbus Air Force Base,Columbus,MS,AETC,14th Flying Training Wing,"19th Air Force . Specialized undergraduate pilot training ( UPT ) . Aircraft include T-6 Texan II , T-1 Jayhawk , T-38 Talon"
Creech Air Force Base,Indian Springs,NV,ACC,432d Wing,"12th Air Force . Primary USAF unmanned aerial vehicle ( UAV ) operations base . Conducts global reconnaissance worldwide . HQ Joint UAS Center of Excellence . Creech is home to the unmanned Predator missions conducted regularly in Afghanistan , Iraq , and Pakistan"
Davis-Monthan Air Force Base,Tucson,AZ,ACC,355th Fighter Wing 162d Fighter Wing ( AZ ANG ) 55th Electronic Combat Group 214th Reconnaissance Group ( AZ ANG ) 563d Rescue Group 943d Rescue Group ( AFRC ),"12th Air Force . 355th Fighter Wing composed of A-10s , tasked to train A-10 pilots and provide close air support to ground forces around the world . 55th Electronic Combat Group operates EC-130H Compass Call aircraft . Arizona ANG operates MQ-1 Predator UAS . Also HQ for Twelfth Air Force . The base is also popular because of the 309th Aerospace Maintenance and Regeneration Group , formerly known as AMARC , or the Aerospace Maintenance And Regeneration Center , where hundreds of retired military aircraft and large missiles are stored"
Dover Air Force Base,Dover,DE,AMC,436th Airlift Wing 512th Airlift Wing ( AFRC ),"Operates C-5 Galaxy and C-17 Globemaster III heavy strategic airlift globally . Also the home for the largest military mortuary in the Department of Defense , used for processing military personnel killed in both war and peacetime"
Dyess Air Force Base,Abilene,TX,AFGSC,7th Bomb Wing ( AFGSC ) 317th Airlift Group ( AMC ),8th Air Force . 7 BW is one of two B-1 Lancer bomber wings in USAF . Tenant 317 AG operates C-130 Hercules theater transports
Edwards Air Force Base,Edwards,CA,AFMC,412th Test Wing,"Air Force Flight Test Center . Almost every United States military aircraft since the 1950s has been at least partially tested at Edwards , and it has been the site of many aviation breakthroughs with experimental aircraft being tested at Edwards . Edwards also appears to have jurisdiction over Air Force Flight Test Center ( Detachment 3 ) , Nevada ( AKA Area 51 )"
Eglin Air Force Base,Valparaiso,FL,AFMC,33d Fighter Wing 53d Wing ( ACC ) 96th Test Wing 919th Special Operations Wing ( AFRC ),"Air Armament Center . AAC is the center responsible for the development , acquisition , testing , deployment and sustainment of all air-delivered weapons by the USAF . ACC 53d Wing serves as the focal point for ACC in electronic warfare , armament and avionics , chemical defense , reconnaissance , and aircrew training . AETC 33rd Fighter Wing provides joint USAF/USN/USMC/NATO/Allied pilot and maintenance personnel training for the F-35 Lightning II"
Ellsworth Air Force Base,Box Elder,SD,AFGSC,28th Bomb Wing,8th Air Force . 12 BW is one of two B-1 Lancer bomber wings in USAF
Francis E. Warren Air Force Base,Cheyenne,WY,AFGSC,90th Missile Wing,"LGM-30G Minuteman III ICBM base with launch facilities in Southeast Wyoming , Western Nebraska , and Northern Colorado . It is also the home of Twentieth Air Force , which commands all United States Air Force ICBMs"
Fairchild Air Force Base,Airway Heights,WA,AMC,92nd Air Refueling Wing 141st Air Refueling Wing ( WA ANG ),"Operates KC-135 Stratotanker assigned to the 15th Expeditionary Mobility Task Force . Provides air refueling , as well as passenger and cargo airlift and aero-medical evacuation missions globally"
Fort Jackson,Columbia,SC,,HQ Air Force Chaplain Corps,Tenant unit on United States Army installation
