Dates,Tournament,Location,Winner
March 25-27,Florida 's Natural Charity Classic,Florida,Tzu-Chi Lin ( 1 )
April 1-3,Daytona Beach Invitational,Florida,Haru Nomura ( 1 )
April 8-10,Santorini Riviera Nayarit Classic,Mexico,Ryann O'Toole ( 3 )
April 29-May 1,Symetra Classic,Texas,Lisa Ferrero ( 1 )
June 3-5,Ladies Titan Tire Challenge,Iowa,Kathleen Ekey ( 1 )
June 10-12,Teva Championship,Ohio,Lisa Ferrero ( 2 )
June 16-19,Tate & Lyle Players Championship,Illinois,Valentine Derrey ( 1 )
June 24-26,Island Resort Championship,Michigan,Stephanie Kim ( 1 )
June 30-July 2,South Shore Championship,Indiana,Tiffany Joh ( 2 )
July 15-17,ING New England Golf Classic,Connecticut,Brittany Johnston ( 1 )
July 22-24,The International at Concord,New Hampshire,Jessica Shepley ( 1 )
July 29-31,Alliance Bank Golf Classic,New York,Kathleen Ekey ( 2 )
August 5-7,Pennsylvania Classic,Pennsylvania,Cathryn Bristow ( 1 )
August 12-14,Eagle Classic,Virginia,Mo Martin ( 3 )
August 26-28,Vidalia Championship,Georgia,Sydnee Michaels ( 1 )
September 9-11,Price Chopper Tour Championship,New York,Sydnee Michaels ( 2 )
