Medal,Name,Sport,Event,Date
Gold,Marco Schwarz,Alpine Skiing,Boys ' combined,15 Jan
Gold,Elisabeth Gram,Freestyle skiing,Girls ' halfpipe,15 Jan
Gold,Miriam-Stefanie Kastlunger,Luge,Girls ' Singles,16 Jan
Gold,Martina Rettenwender Marco Schwarz Christine Ager Mathias Graf,Alpine skiing,Parallel Mixed Team,17 Jan
Gold,Marco Schwarz,Alpine skiing,Boys ' Giant Slalom,19 Jan
Gold,Michaela Heider,Freestyle Skiing,Girls ' Ski Cross,21 Jan
Silver,Stefan Geisler,Skeleton,Boys ' Individual,21 Jan
Silver,Carina Mair,Skeleton,Girls ' Individual,21 Jan
Silver,Benjamin Maier Robert Ofensberger,Bobsleigh,Two-boys,22 Jan
Silver,Austria women 's national under-18 ice hockey team Nicole Arnberger Julia Frick Tamara Grascher Alexandra Gürtler Victoria Hummel Anna Katharina Iberer Martina Kneß Anja List Paula Camilla Marchart Anna Meixner Anna Meixner Julia Pechmann Paulina Polczik Noemi Prosenz Anna Schmid Luisa Steiner Julia Willenshofer,Ice hockey,Girls ' competition,22 Jan
Bronze,Christine Ager,Alpine skiing,Girls ' Super-G,14 Jan
Bronze,Miriam-Stefanie Kastlunger Armin Frauscher Thomas Steu Lorenz Koller,Luge,Mixed Team Relay,17 Jan
Bronze,Mathias Graf,Alpine Skiing,Boys ' Slalom,21 Jan
Bronze,Melanie Brantner,Short track,Mixed team relay,21 Jan
