Year,Title,Director,Studio
2019,Bigil,Atlee Kumar,AGS Entertainment
2018,2.0,S. Shankar,Lyca Productions
2017,Baahubali 2 : The Conclusion,S. S. Rajamouli,Arka Media Works
2016,Kabali,Pa. Ranjith,V. Creations
2015,Baahubali : The Beginning,S.S. Rajamouli,Arka Media Works
2014,Lingaa,K.S . Ravikumar,Eros International
2013,Vishwaroopam,Kamal Hassan,Raaj Kamal Films International
2012,Thuppaki,A.R . Murugadoss,V. Creations
2011,Mankatha,Venkat Prabhu,Cloud Nine Movies
2010,Enthiran,S. Shankar,Sun Pictures
2009,Ayan,K.V . Anand,AVM Productions
2008,Dasavathaaram,K.S . Ravikumar,Aascar Film Pvt . Ltd
2007,Sivaji,S. Shankar,AVM Productions
2005,Chandramukhi,P. Vasu,Sivaji Productions
2004,Ghilli,Dharani,Sri Surya Movies
2003,Saamy,Hari,Kavithalayaa Productions
2002,Gemini,Saran,AVM Productions
2000,Vaanathaippola,Vikraman,Aascar Film Pvt . Ltd
1999,Padayappa,K.S . Ravikumar,Arunachala Cine Creations
1997,Arunachalam *,Sundar C,Annamalai Cine Combines
