Name,City,Height ft ( m ),Floors,Year ( est . ),Notes
Tower Fifth,New York,"1,556 ft ( 474 m )",96,2022,"Tower Fifth is a slender office tower proposed by 432 Park Avenue developer Harry B. Macklowe of Macklowe Properties , would become the second tallest tower in the Western Hemisphere after One World Trade Center if completed as planned"
350 Park Avenue,New York,"Approximately 1,450 ft ( 442 m )",72,2024+,350 Park Avenue has been quietly proposed by Vornado Realty Trust after a marketing brochure leaked renderings ; the Foster and Partners -designed building would replace BlackRock 's current headquarters after the company moves to 50 Hudson Yards in 2022
80 South Street,New York,"1,438 ft ( 438 m )",113,-,"As of June 2019 , the site is for sale after Chinese developer Oceanwide Holdings ran into financial difficulties"
270 Park Avenue ( reconstruction ),New York,"1,425 ft ( 434 m )",70,2024,JPMorgan Chase plans to demolish & replace its headquarters ; the new tower was approved by the New York City Council in May 2019
Tribune East Tower,Chicago,"1,422 ft ( 433 m )",116,-,Would become the second-tallest building in Chicago upon completion
15 Penn Plaza,New York,"1,216 ft ( 371 m )",68,-,"Proposed by Vornado prior to the financial crisis of 2007-2008 ; as of 2019 the developer is still seeking an anchor tenant to justify construction . New renderings leaked from a marketing brochure in June 2019 depict a tower around 1,400 feet ( 430 m ) with a new design"
2901 Arch Street - Transit Terminal Tower,Philadelphia,"1,200 ft ( 366 m )",85,2025-28,Proposed office and retail
Dallas Smart District Tower,Dallas,"1,121 ft ( 342 m )",78,2020s,Proposed office tower would be the tallest in Texas and tallest west of the Mississippi River
333 South Figueroa,Los Angeles,"1,108 ft ( 338 m )",77,-,"Proposed hotel by Shenzhen New World Group , tallest proposed tower West of Mississippi River"
400 Lake Shore Drive South Tower,Chicago,"1,100 ft ( 335 m )",76,-,Currently stalled due to objections from Alderman Brendan Reilly
520 West 41st Street,New York,"1,100 ft ( 335 m )",106,-,Proposed in 2014 by World Trade Center developers Silverstein Properties but put on hold ; new plans as of June 2019 depict a shorter two-towered development
3101 Market Street ( Part of Schuylkill Yards ),Philadelphia,"1,095 ft ( 334 m )",70,2021-25,"Proposed residential , office , education , and retail"
300 Biscayne,Miami,"1,049 ft ( 320 m )",94,2020,Announced in 2015 . It will be one of the tallest buildings in Miami and the state of Florida
One Bayfront Plaza,Miami,"1,049 ft ( 320 m )",92,2020,Announced in 2010 . One Bayfront Plaza would be the tallest office tower in Miami and Florida
SkyRise Miami,Miami,"1,045 ft ( 319 m )",-,2020,A vertical entertainment center in Miami . Site work has begun as of October 2018
One Brickell City Centre,Miami,"1,040 ft ( 317 m )",80,2020,Proposed in November 2013 and approved in 2014 with estimated completion in 2020
4/C,Seattle,"1,029 ft ( 314 m )",99,-,"Proposed in September 2015 by Crescent Heights , designed by LMN Architects"
247 Cherry,New York,"1,013 ft ( 309 m )",78,2021,SHoP Architects building being developed by JDS Development Group . Initial plans revealed in April 2016 and approved by the City Planning Commission in December 2018
262 Fifth Avenue,New York,"1,001 ft ( 305 m )",54,-,First proposed in June 2016 ; as of June 2019 no site work has been completed and the developer has not released any updates
Figueroa Centre,Los Angeles,975 ft ( 297 m ),66,2020s,"Proposed residential , hotel , and retail - would become the third tallest building in Los Angeles"
