,Members,Group,State
1,Alejo Vidal-Quadras Roca,EPP-ED,Spain
2,Antonios Trakatellis,EPP-ED,Greece
3,Dagmar Roth-Behrendt,PES,Germany
4,Edward McMillan-Scott,EPP-ED,United Kingdom
5,Ingo Friedrich,EPP-ED,Germany
6,Mario Mauro,EPP-ED,Italy
7,António Costa,PES,Portugal
8,Luigi Cocilovo,ALDE,Italy
9,Jacek Saryusz-Wolski,EPP-ED,Poland
10,Pierre Moscovici,PES,France
11,Miroslav Ouzký,EPP-ED,Czech Republic
12,Janusz Onyszkiewicz,ALDE,Poland
13,Gérard Onesta,Greens/EFA,France
14,Sylvia-Yvonne Kaufmann,EUL/NGL,Germany
