Year,Name,Show
2001,Pradeep Muley,The Great Warrior Chhatrapati Shivaji
2002,Mala Dey,Amrapali ( DD National )
2003,Pradeep Muley,The Great Warrior Chhatrapati Shivaji
2004,Nikhat Mariyam Neerushaa,Hatim
2005,Nikhat Mariyam Neerushaa,Hatim
2006,"Tara Desai , Nisha Sagar , Nikhat Mariyam Neerushaa",Dharti Ka Veer Yodha Prithviraj Chauhan
2007,Sheela Sagar and Nikhat Mariyam Neerushaa,Dharti Ka Veer Yodha Prithviraj Chauhan
2008,Sheela Sagar,Jai Shri Krishna
2009,Neeta Lulla,Chittod Ki Rani Padmini Ka Johur
2010,Winnie Malhotra & Neelu Shroff,Balika Vadhu
2011,Nidhi Yasha,Shobha Somnath Ki
2012,Winnie Malhotra & Neelu Shroff,Balika Vadhu
2013,Nikhat Mariyam Neerushaa,Bharat Ka Veer Putra - Maharana Pratap
2014,Jerry D'souza,Nach Baliye 6
2016,Nikhat Mariyam Neerushaa,Siya Ke Ram
2017,Nikhat Mariyam Neerushaa,Prem Ya Paheli - Chandrakanta
2018,Ketki Dalal,Porus
