Player,Hits,Team,Season
Ichiro Suzuki,262,Seattle Mariners,2004
George Sisler,257,St. Louis Browns,1920
Lefty O'Doul,254,Philadelphia Phillies,1929
Bill Terry,254,New York Giants,1930
Al Simmons,253,Philadelphia Athletics,1925
Rogers Hornsby,250,St. Louis Cardinals,1922
Chuck Klein,250,Philadelphia Phillies,1930
Ty Cobb,248,Detroit Tigers,1911
George Sisler,246,St. Louis Browns,1922
Ichiro Suzuki,242,Seattle Mariners,2001
Heinie Manush,241,St. Louis Browns,1928
Babe Herman,241,Brooklyn Dodgers,1930
Wade Boggs,240,Boston Red Sox,1985
Darin Erstad,240,Anaheim Angels,2000
