Year,Champions,Runners-up,Score
2017,Max Purcell Andrew Whittington,Ruben Gonzales Christopher Rungkat,"6-3 , 2-6 , [ 10-8 ]"
2016,Matt Reid John-Patrick Smith,Jeevan Nedunchezhiyan Christopher Rungkat,"6-3 , 6-4"
2015,Brydan Klein Matt Reid,Riccardo Ghedin Yi Chu-huan,"6-2 , 7-6"
2014,Toshihide Matsui Yasutaka Uchiyama,Bumpei Sato Yang Tsung-hua,"7-6 , 6-2"
2013,Chase Buchanan Blaž Rola,Marcus Daniell Artem Sitak,"4-6 , 6-3 , [ 10-4 ]"
2012,Philipp Oswald Mate Pavić,Andrea Arnaboldi Matteo Viola,"6-3 , 3-6 , [ 10-2 ]"
2011,Hiroki Kondo Yi Chu-huan,Gao Peng Gao Wan,"6-4 , 6-1"
2010,Treat Conrad Huey Purav Raja,Tasuku Iwami Hiroki Kondo,"6-1 , 6-2"
2009,Andis Juška Alexandre Kudryavtsev,Alexey Kedryuk Junn Mitsuhashi,"6-4 , 7-6"
2008,Frederik Nielsen Aisam-ul-Haq Qureshi,Chen Ti Grzegorz Panfil,"7-5 , 6-3"
