Weight,Name/Site,Type,Location,Builder,Comment
"8,799 t ( est )",Yangshan Stele,Stele ( body ),"Yangshan Quarry , China",Ming China,"49.4 m long , 10.7 m wide , 4.4 m thick"
"~ 1,650 t",Unnamed monolith,Block,"Baalbek , Lebanon",Roman Empire,"19.6 m long , 6 m wide , ≥5.5 m high"
"~ 1,242 t",Unnamed monolith,Block,"Baalbek , Lebanon",Roman Empire,"19.5-20.5 m long , 4.34-56 m wide , 4.5 m high"
"~ 1,100 t",Unfinished obelisk,Obelisk,"Aswan , Egypt",Ancient Egypt,"41.75 m long , 2.5-4.4 m wide"
"~ 1,000.12 t",Stone of the South,Block,"Baalbek , Lebanon",Roman Empire,"20.31-76 m long , 4-5.29 m wide , 4.21-32 m high"
,Statue of Ahimsa,Statue,"Mangi-Tungi , Nasik district of Maharashtra state , India","Gyanmati Mataji , 2016",108 ft ( 33 m )
,Bawangaja,Statue,"Madhya Pradesh state , India",,84 ft ( 26 m )
400-600 t,Gommateshwara statue,Statue,"Shravanabelagola , Karnataka state , India",Chavundaraya,"60 ft ( 18 m ) tall , over 30 ft ( 9.1 m ) wide"
,Rishabha Statue at Gopachal Hill,Statue,"Gwalior Fort of Gwalior state , India",Jain laymen,58.4 ft ( 17.8 m ) tall
"~1 , 207 t",Granite column,Column,"Mons Claudianus , Egypt",Roman Empire,Ca . 17.7 m ( 59 feet ) long
