Name,Chartered,Institution,Location
Kappa Alpha,"April 15 , 1973",University of Oklahoma,"Norman , Oklahoma"
Kappa Beta,"May 12 , 1973",Jacksonville State University,"Jacksonville , Alabama"
Kappa Gamma,1973,Lander University,"Greenwood , South Carolina"
Kappa Delta,1973,University of West Georgia,"Carrollton , Georgia"
Kappa Epsilon,"May 24 , 1973",Florida State University,"Tallahassee , Florida"
Kappa Zeta,1973,Millikin University,"Decatur , Illinois"
Kappa Eta,1973,"Milwaukee , WI City-Wide","Milwaukee , Wisconsin"
Kappa Theta,1973,University of Wisconsin Oshkosh,"Oshkosh , WI"
Kappa Iota,"May 31 , 1973",University of South Florida,"Tampa , Florida"
Kappa Kappa,1973,Baldwin-Wallace College,"Berea , Ohio"
Kappa Lambda,"April 27 , 1973",Syracuse University,"Syracuse , New York"
Kappa Mu,1973,Sam Houston State University,"Huntsville , Texas"
Kappa Nu,1973,Evansville City-Wide ( University of Southern Indiana & University of Evansville ),"Evansville , Indiana"
Kappa Xi,"May 12 , 1973",Arkansas State University,"Jonesboro , Arkansas"
Kappa Omicron,"July 21 , 1973",UNC-Chapel Hill,"Chapel Hill , North Carolina"
Kappa Pi,1973,Delta State University,"Cleveland , Mississippi"
Kappa Rho,"September 29 , 1973",University of Virginia,"Charlottesville , Virginia"
Kappa Sigma,1973,East Carolina University,"Greenville , North Carolina"
Kappa Tau,1973,Texas A & M University-Kingsville,"Kingsville , Texas"
Kappa Upsilon,"January 12 , 1974",Auburn University,"Auburn , Alabama"
